decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy of Music Player HD+ EqualizerPrivacy Policy ofMusic Player HD+ EqualizerThis Application collects some Personal Data from its Users.This document can be printed for reference by using the print command in the settings of any browser.Policy summaryPersonal Data processed for the following purposes and using the following services:AdvertisingAdMob and Meta Audience NetworkPersonal Data: Trackers; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage Data",510,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,AnalyticsGoogle Analytics for FirebasePersonal Data: device information; geography/region; number of Users ; operating systems; session duration; Usage DataContacting the UserContact formPersonal Data: email addressContent performance and features testing (A/B testing)Firebase Remote ConfigPersonal Data: various types of Data as specified in the privacy policy of the serviceDevice permissions for Personal Data accessDevice permissions for Personal Data access,463,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Personal Data: Media Library permission (Music); Storage permissionDisplaying content from external platformsGoogle Programmable Search EnginePersonal Data: Trackers; Usage DataHandling paymentsPayments processed via the Google Play StorePersonal Data: email addressHosting and backend infrastructureAmazon Web Services (AWS)Personal Data: various types of Data as specified in the privacy policy of the serviceInfrastructure monitoringCrashlytics,447,<error>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Personal Data: crash data; device information; Universally unique identifier (UUID)Firebase Performance MonitoringPersonal Data: various types of Data as specified in the privacy policy of the servicePlatform services and hostingGoogle Play StorePersonal Data: Usage DataInformation on opting out of interest-based advertisingIn addition to any opt-out feature provided by any of the services listed in this document, Users may follow the",438,<error>,<error>
Introduction, instruction,83.33333333333334,1898,main," instructions provided byYourOnlineChoices(EU),  theNetwork Advertising Initiative(US) and  theDigital Advertising Alliance(US),DAAC(Canada),DDAI(Japan)  or other similar initiatives. Such initiatives allow Users to select their tracking preferences for most of the advertising tools. The Owner thus recommends that Users make use of these resources in addition to the information provided in this document.The Digital Advertising Alliance offers an application calledAppChoices",478,<error>,<error>
Introduction, instruction,83.33333333333334,1898,main,"that helps Users to control interest-based advertising on mobile apps.Users may also opt-out of certain advertising features through applicable device settings, such as the device advertising settings for mobile phones or ads settings in general.Further information about the processing of Personal DataPush notificationsThis Application may send push notifications to the User to achieve the purposes outlined in this privacy policy.",434,<error>,<error>
Introduction, instruction,83.33333333333334,1898,main,"Users may in most cases opt-out of receiving push notifications by visiting their device settings, such as the notification settings for mobile phones, and then change those settings for this Application, some or all of the apps on the particular device.Users must be aware that disabling push notifications may negatively affect the utility of this Application.Contact informationOwner and Data ControllerCarvalho Software, Monte Carmelo - Minas Gerais (Brazil)Owner contact email:carvalhosoftware@gmail.com",508,<error>,<error>
Introduction, instruction,83.33333333333334,1898,main,"Full policyOwner and Data ControllerCarvalho Software, Monte Carmelo - Minas Gerais (Brazil)Owner contact email:carvalhosoftware@gmail.comTypes of Data collectedAmong the types of Personal Data that this Application collects, by itself or through third parties, there are:",272,<error>,<error>
Introduction, instruction,83.33333333333334,1898,main,"      Usage Data; device information; geography/region; number of Users ; session duration; operating systems; Media Library permission (Music); Storage permission; Trackers; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Universally unique identifier (UUID); crash data; email address.",326,<error>,<error>
Introduction, instruction,83.33333333333334,1898,main,"Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.Personal Data may be freely provided by the User, or, in case of Usage Data, collected automatically when using this Application.",320,<error>,<error>
