decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Kazmi Apps StudioSearch this siteSkip to main contentSkip to navigationKazmi Apps StudioPrivacy Policy,102,<error>,<error>
Required Permissions and their usage:,Required Permissions and their usage:,100.0,108,main,Required Permissions and their usage:,37,<generic>,<error>
Storage data permission:,Storage data permission:,100.0,146,sub,Storage data permission:Its requested permission for allowance of access only when it’s needed and use the info for better performance of application. Didn’t get any cloud connection permission and all your data are stored in your phone internal and local storage.,264,<first>,<error>
Read & write storage permission:,Read & write storage permission:,100.0,412,sub,"Read & write storage permission:This permission allowed to read & write the photos, videos and documents for editing. All your data are encrypted in your local storage and read your storage only when required.",209,<first>,<error>
Accounts information:,Accounts information:,100.0,623,sub,"Accounts information:We not forced anyone to login their personal account and our apps didn’t require any private user info. We use info of user activity with our apps, provided by Google play console, only if users linked their Google Account in their device helps to make us its Google Services and helps to get secure updates of application.",344,<first>,<error>
Configuration of google services:,Configuration of google services:,100.0,969,sub,Configuration of ,17,<first>,<error>
Google Services:,google services:,100.0,986,sub,"google services:These details required from user an advertising ID, which helps user to provide better advertise services.Google Services:Its use the user advertising ID and show the user interest base ads. It’s very helpful for user to provide them better advertise services. It’s also helpful to show ads by age, if user is not adult then, it’s not showed the adult ads.",372,<first>,<error>
Cellular network connectivity:,Cellular network connectivity:,100.0,1362,sub,Cellular network connectivity:It’s for checking the connectivity of cellular connectivity from setting and notification tool bar. And also use for show user their current location in navigation map.,198,<third>,<error>
Wi-Fi Connectivity:,Wi-Fi Connectivity:,100.0,1562,sub,"Wi-Fi Connectivity:This permission for checking Wi-Fi connectivity, it’s connected or not and also helpful to show user their accurate location for GPS apps.",157,<third>,<error>
Location Permission:,Location Permission:,100.0,1721,sub,Location Permission:This permission used in navigation apps applications to access the user location for show user their current location. It’s use only if user give access and enable the GPS from device.,204,<first>,<error>
Bluetooth connectivity:,Bluetooth connectivity:,100.0,1927,sub,"Bluetooth connectivity:It’s for connectivity for Bluetooth devices like headphones, ear buds and wireless speakers.",115,<third>,<error>
Sync process:,Sync process:,100.0,2044,sub,Sync process:It’s helps to save the process of application and save the consumption of power of device.These permissions use to boost the application performance,161,<first>,<error>
Protected Information,Protected Information,100.0,2208,main,"Protected InformationAll provided information in our apps are secured and safe. We scanned all data on daily basis and didn’t disclosed it to any third party.Important note: We didn’t force to entered your personal information like username, private pics & videos or debit card number.",285,<generic>,<error>
Third-Party Disclosure,Third-Party Disclosure,100.0,2496,main,"Third-Party DisclosureWe don't sell, trade, or otherwise transfer to outside parties your Personally Identifiable Information.",126,<third>,<error>
Third-Party Links,Third-Party Links,100.0,2624,main,Third-Party LinksWe do not include or offer third-party products or services on our products.,93,<third>,<error>
Google's,Google's,100.0,2719,main,Google'sAdvertising requirements can be summed up by Google's Advertising Principles. They are put in place to provide a positive user experience for our valuable customer around the globe in accordance withGoogle Ads policies. We use Google AdSense Advertising on for our products.,282,<generic>,<error>
Google's,Google's,100.0,2719,main,"Google, as a third-party vendor, uses cookies to serve ads. Google's use of the DART cookie enables it to serve ads to our users based on previous visits and other sites on the Internet. Users may opt-out of the use of the DART cookie by visiting the Google Ad and Content Network privacy policy.",296,<generic>,<error>
GDPR (General Data Protection Regulation),GDPR (General Data Protection Regulation),100.0,3302,main,"GDPR (General Data Protection Regulation)When it comes to the collection of personal information from EUROPEAN PEOPLE, we obey the rules as stated by",149,<region>,<error>
EU User Consent Policy,EU User Consent Policy,100.0,3453,sub,EU User Consent Policyand here is the list of which SDK we use:AdmobFacebookFirebase,84,<region>,<error>
Child privacy policy,Child privacy policy,100.0,3542,main,Child privacy policyChild privacy is our first priority and we didn’t show and collect info of children under age 13.,117,<audience>,<error>
Contact us,Contact us,100.0,3661,main,Contact usFor any suggestion or feedback and issue you feel in our apps then email us: Kashafkazmi12@gmail.com,110,<contact>,<error>
Report abuse,Report abuse,100.0,3773,main,Report abusePage detailsPage updatedGoogle SitesReport abuse,60,<access>,<error>
