decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY FOR WIFI CONNECTION MANAGER,PRIVACY POLICY FOR WIFI CONNECTION MANAGER,100.0,0,main,"PRIVACY POLICY FOR WIFI CONNECTION MANAGERPRIVACY POLICY FOR WIFI CONNECTION MANAGERThis privacy policy governs your use of the App WiFi Connection Manager for mobile devices that was created by roamingsoft. WiFi Connection Manager is one of the best Wi-Fi scanner, manager and connector on android.",299,<generic>,<error>
What information does the App obtain and how is it used?,What information does the App obtain and how is it used?,100.0,302,main,What information does the App obtain and how is it used?,56,<first>,<what>
User Provided Information,User Provided Information,100.0,359,sub,User Provided InformationThe App does not need user provided information.,73,<first>,<what>
Automatically Collected Information,Automatically Collected Information,100.0,434,sub,"Automatically Collected InformationThe App may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, your mobile operating system, the mobile network service provider, the device screen resolution, and information about the way you use the App.CameraThis permission allows this App to add Wi-Fi network via scanning QR-Code.Phone",460,<first>,<what>
Automatically Collected Information,Automatically Collected Information,100.0,434,sub,Used for permissions that are associated telephony features.This permission is used to get the current network type: cellular or Wi-Fi.This permission is also required by the ad networks.StorageThis permission is used for backup and restore saved network.Approximate location permissionThis permission is required to get Wi-Fi scan result on Android 6.0 or above devices.Precise real time location informationThis App does not collect precise information about the location of your mobile device.,496,<first>,<what>
Do third parties see and/or have access to information obtained by the App?,Do third parties see and/or have access to information obtained by the App?,100.0,1404,main,"Do third parties see and/or have access to information obtained by the App?Only aggregated, anonymized data is periodically transmitted to external services to help us improve the App and our service. We will share your information with third parties only in the ways that are described in this privacy statement.",313,<third>,<what>
We may disclose User Provided and Automatically Collected Information:,We may disclose User Provided and Automatically Collected Information:,100.0,1719,sub,We may disclose User Provided and Automatically Collected Information:,70,<third>,<why>
as required by law,as required by law,100.0,1790,sub,"as required by law, such as to comply with a subpoena, or similar legal process;",80,<error>,<how-used>
when we believe in good faith that disclosure is necessary to protect our rights,when we believe in good faith that disclosure is necessary to protect our rights,100.0,1871,sub,"when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request;",181,<error>,<how-used>
with our trusted services providers,with our trusted services providers,100.0,2053,sub,"with our trusted services providers who work on our behalf, do not have an independent use of the information we disclose to them, and have agreed to adhere to the rules set forth in this privacy statement.",206,<error>,<how-used>
"if Developer Company Name is involved in a merger, acquisition, or sale of all or a portion of its assets","if Developer Company Name is involved in a merger, acquisition, or sale of all or a portion of its assets",100.0,2260,sub,"if Developer Company Name is involved in a merger, acquisition, or sale of all or a portion of its assets, you will be notified via email and/or a prominent notice on our Web site of any change in ownership or uses of this information, as well as any choices you may have regarding this information.",299,<error>,<how-used>
What are my opt-out rights?,What are my opt-out rights?,100.0,2560,main,What are my opt-out rights?You can stop all collection of information by the App easily by uninstalling the App. You may use the standard uninstall processes as may be available as part of your mobile device or via the mobile App marketplace or network.,253,<choice>,<how-gathered>
"Data Retention Policy, Managing Your Information","Data Retention Policy, Managing Your Information",100.0,2815,main,"Data Retention Policy, Managing Your InformationWe will retain User Provided data for as long as you use the App and for a reasonable time thereafter. We will retain Automatically Collected information for up to 24 months and thereafter may store it in aggregate. Please note that some or all of the User Provided Data may be required in order for the App to function properly.",377,<retention>,<when>
Children,Children,100.0,3194,main,"ChildrenWe do not use the App to knowingly solicit data from or market to children under the age of 13. If a parent or guardian becomes aware that his or her child has provided us with information without their consent, he or she should contact us at[email protected]We will delete such information from our files within a reasonable time.",339,<audience>,<when>
Security,Security,100.0,3537,main,Security,8,<security>,<other>
Security,Security,100.0,3537,main,"We are concerned about safeguarding the confidentiality of your information. We provide physical, electronic, and procedural safeguards to protect information we process and maintain. For example, we limit access to this information to authorized employees and contractors who need to know that information in order to operate, develop or improve our App. Please be aware that, although we endeavor provide reasonable security for information we process and maintain, no security system can prevent all potential security breaches.",531,<security>,<other>
Changes,Changes,100.0,4078,main,"ChangesThis Privacy Policy may be updated from time to time for any reason. We will notify you of any changes to our Privacy Policy by posting the new Privacy Policy here and informing you via email or text message. You are advised to consult this Privacy Policy regularly for any changes, as continued use is deemed approval of all changes. You can check the history of this policy by clicking here.",400,<change>,<other>
Your Consent,Your Consent,100.0,4480,main,Your Consent,12,<error>,<other>
Your Consent,Your Consent,100.0,4480,main,"By using the App, you are consenting to our processing of your information as set forth in this Privacy Policy now and as amended by us. ""Processing,"" means using cookies on a computer/hand held device or using or touching information in any way, including, but not limited to, collecting, storing, deleting, using, combining and disclosing information, all of which activities will take place in the United States. If you reside outside the United States your information will be transferred, processed and stored there under United States privacy standards.",559,<error>,<other>
Contact us,Contact us,100.0,5053,main,"Contact usIf you have any questions regarding privacy while using the App, or have questions about our practices, please contact us via email at[email protected]",161,<contact>,<other>
