decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Open Camera Privacy Policy,Open Camera Privacy Policy,100.0,0,main,Open Camera Privacy PolicyOpen Camera Privacy Policy<,53,<generic>,<error>
Main Page,Main Page,100.0,56,main,"Main Page.Open Camera is developed by Mark Harman.Open Camera accesses and records camera sensor and microphone data, which is used for the purposeof taking photos and recording videos, to fulfil its purpose as a camera. Microphone permission is also used for the optional ""Audio control"" options.Open Camera requires permission (at least for Android 9 and earlier, or using versions of Open Camera older than 1.48.3) to",420,<generic>,<error>
Main Page,Main Page,100.0,56,main,"    ""access photos, media and files on your devices"" (storage permission), as this permission is required for Android to save resultant files such as photos and videos to your device.Location permission is requested in order to deliver the optional geotagging features (for photos and videos, including stamp and subtitles options).    When relevant option(s) are enabled, your device location will be stored in photo/video/subtitle files.",439,<generic>,<error>
Main Page,Main Page,100.0,56,main,"Bluetooth permissions are used to allow the optional feature to discover and connect to Bluetooth LE remote control devices;    the Bluetooth remote control feature also requires location permission (on Android 11 or earlier) or    Nearby Devices permission (on Android 12 or later).Resultant data such as photos or videos can be shared with    other apps if you use the share option in Open Camera, or when Open Camera is called by",432,<generic>,<error>
Main Page,Main Page,100.0,56,main,"    another app on your device, or when you use the Storage Access Framework option to save    to another app or service.",121,<generic>,<error>
"Data Handling Procedures, Data Retention and Deletion Policies","Data handling procedures, data retention and deletion policies",100.0,1483,main,"Data handling procedures, data retention and deletion policies: Open Camera    does not transmit personal or sensitive information to me.Since Open Camera also uses operating system APIs, you should review relevant privacy policies    such as for your device, manufacturer, operating system and/or Google accounts. For example:For versions 1.49.2 or earlier: the optional voice control option used the Androidspeech recognition service.",436,<first>,<error>
"Data Handling Procedures, Data Retention and Deletion Policies","Data handling procedures, data retention and deletion policies",100.0,1483,main,"        When enabled, audio data is likely to be sent to remote servers by Android to perform speech recognition.        This is subject to the Data Processing Addendum for Products where Google is a Data Processor,        located athttps://privacy.google.com/businesses/gdprprocessorterms/, as updated from time to time.        This option is no longer available in version 1.50 onwards.For versions 1.49.2 or earlier: The ""addresses"" option for photo stamp or video subtitles used the AndroidGeocoder API.",507,<first>,<error>
"Data Handling Procedures, Data Retention and Deletion Policies","Data handling procedures, data retention and deletion policies",100.0,1483,main,"        When this option is enabled, in order to deliver this functionality the API transmits your device location data across the Internet to a        ",152,<first>,<error>
Third Party APIs,third party (whi,81.25,2595,main,"third party (which may depend on what ""backend services"" are installed on your device).        This option is no longer available in version 1.50 onwards.",154,<third>,<error>
Apps/Services,Apps/services,100.0,2751,main,"Apps/services such as cloud services on your device may auto-upload photos and videos that are saved on your device.If you have inquiries about my privacy policy, please contact me by email atmark.harman.apps@gmail.com.Although Open Camera is ad-free, the Open Camera website has ads via Google Adsense: ",304,<first>,<error>
Third Party Vendors,Third party vendors,100.0,3059,main,"Third party vendors, including Google, use cookies toserve ads based on a user's previous visits to this website or other websites. Google's use of advertising cookies enables it andits partners to serve ads based on people's visit to this sites and/or other sites on the Internet. You may opt out of personalisedadvertising by visitingGoogle's Ads Settings.The cookies of other third-party",390,<third>,<error>
Third Party Vendors,Third party vendors,100.0,3059,main,vendors or ad networks may also be used to serve ads. You can opt out of some third-party vendors' uses of cookies for personalised advertising by visitingwww.aboutads.info.,173,<third>,<error>
Update,Update,100.0,3631,main,Update:I have instructed Google to not display personalised ads to users in the EEA.Note that cookies are still used for serving even non-personalised ads.The ,159,<change>,<error>
Open Camera Website,Open Camera website,100.0,3793,main,Open Camera website also uses,29,<first>,<error>
Google Analytics,Google Analytics,100.0,3823,sub,"Google Analyticswhich uses cookies, please see theirPrivacy Policyfor more details.Also see""How Google uses information from sites or appsthat use our services"".Android is a trademark of Google LLC.Open Camera Privacy Policy.This website uses icons from third party sources, seelicences.Open Camera on Sourceforge.",314,<third>,<error>
