decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Video Calls - Privacy PolicyHomeOur AppsContactHomePrivacy PolicyPrivacy PolicyThis page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.Your privacy is important to us. It is Leo Translate Appâ€™s policy to respect your privacy and comply with any applicable law and regulation regarding any personal information we may collect about you, including across our website, www.leolegaltech.com, and other sites we own and operate.",529,<error>,<error>
,,-1.0,0,,This policy is effective as of 24 June 2021 and was last updated on 15 Nov 2021.,80,<error>,<error>
Information We Collect,Information We Collect,100.0,619,main,Information We Collect,22,<generic>,<error>
"Information we collect includes both information you knowingly and actively provide us when using or participating in any of our services and promotions, and any information automatically sent by your devices in the course of accessing our products and services.","Information we collect includes both information you knowingly and actively provide us when using or participating in any of our services and promotions, and any information automatically sent by your devices in the course of accessing our products and services.",100.0,642,sub,"Information we collect includes both information you knowingly and actively provide us when using or participating in any of our services and promotions, and any information automatically sent by your devices in the course of accessing our products and services.",262,<first>,<error>
Log Data,Log Data,100.0,905,main,Log Data,8,<generic>,<error>
"When you visit our website, our servers may automatically log the standard data provided by your web browser. It may include your deviceâ€™s Internet Protocol (IP) address, your browser type and version, the pages you visit, the time and date of your visit, the time spent on each page, other details about your visit, and technical details that occur in conjunction with any errors you may encounter.","When you visit our website, our servers may automatically log the standard data provided by your web browser. It may include your deviceâ€™s Internet Protocol (IP) address, your browser type and version, the pages you visit, the time and date of your visit, the time spent on each page, other details about your visit, and technical details that occur in conjunction with any errors you may encounter.",100.0,914,sub,"When you visit our website, our servers may automatically log the standard data provided by your web browser. It may include your deviceâ€™s Internet Protocol (IP) address, your browser type and version, the pages you visit, the time and date of your visit, the time spent on each page, other details about your visit, and technical details that occur in conjunction with any errors you may encounter.",401,<first>,<error>
"When you visit our website, our servers may automatically log the standard data provided by your web browser. It may include your deviceâ€™s Internet Protocol (IP) address, your browser type and version, the pages you visit, the time and date of your visit, the time spent on each page, other details about your visit, and technical details that occur in conjunction with any errors you may encounter.","When you visit our website, our servers may automatically log the standard data provided by your web browser. It may include your deviceâ€™s Internet Protocol (IP) address, your browser type and version, the pages you visit, the time and date of your visit, the time spent on each page, other details about your visit, and technical details that occur in conjunction with any errors you may encounter.",100.0,914,sub,"Please be aware that while this information may not be personally identified by itself, it may be possible to combine it with other data to personally identify individual persons.",179,<first>,<error>
Google API Disclosure,Google API Disclosure,100.0,1496,main,Google API Disclosure,21,<third>,<error>
"Leo Mailbox's use and transfer to any other app of information received from Google APIs will adhere to Google API Services User Data Policy, including the Limited Use requirements","Leo Mailbox's use and transfer to any other app of information received from Google APIs will adhere to
Google API Services User Data Policy
, including the Limited Use requirement",98.88888888888889,1518,sub,"Leo Mailbox's use and transfer to any other app of information received from Google APIs will adhere toGoogle API Services User Data Policy, including the Limited Use requirements",179,<generic>,<error>
Personal Data,Personal Data,100.0,1700,main,Personal Data,13,<generic>,<error>
"Personal data refers to personally identifiable information that specifically identifies you as an individual (e.g. your name, email address). We do NOT collect, store or use any of your Personal Data.","Personal data refers to personally identifiable information that specifically identifies you as an individual (e.g. your name, email address). We do NOT collect, store or use any of your Personal Data.",100.0,1714,sub,"Personal data refers to personally identifiable information that specifically identifies you as an individual (e.g. your name, email address). We do NOT collect, store or use any of your Personal Data.If you contact us by email, then we will use your email address only for the purpose of contacting you. This will be only in response to a communication from you.",363,<first>,<error>
User Entered Data,User Entered Data,100.0,2079,main,User Entered Data,17,<generic>,<error>
All data entered into the applications by you remain on your device. We never pass this data and we never use it.,All data entered into the applications by you remain on your device. We never pass this data and we never use it.,100.0,2097,sub,All data entered into the applications by you remain on your device. We never pass this data and we never use it.,113,<first>,<error>
Device Data,Device Data,100.0,2211,main,"Device DataNon-personal data refers to information that, by itself, does not personally identify you. ",102,<first>,<error>
"We may collect non-personal data such as your device model number, operating system version, country code, and other properties for purpose of managing the applications.","We may collect non-personal data such as your device model number, operating system version, country code, and other properties for purpose of managing the applications.",100.0,2314,sub,"We may collect non-personal data such as your device model number, operating system version, country code, and other properties for purpose of managing the applications.                                We use third-party analytics services to help anonymously monitor app usage and identify potential issues. This is purely a means to help us improve the",353,<generic>,<error>
Location Data,Location Data,100.0,2669,main,Location Data,13,<first>,<error>
"Video Calls, Voice & Text Chat App collects location data to enable ""People and Groups Nearby"" when the app is in the foreground.","Video Calls, Voice & Text Chat App collects location data to enable ""People and Groups Nearby""  when the app is in the foreground",99.2248062015504,2683,sub,"Video Calls, Voice & Text Chat App collects location data to enable ""People and Groups Nearby""  when the app is in the foreground.",130,<generic>,<error>
"Video Calls, Voice & Text Chat App collects location data to enable to sharing of live location app needs access to user location all the time including while the app is in the background.","Video Calls, Voice & Text Chat App collects location data to enable to sharing of live location app needs access to user location all the time including while the app is in the background.",100.0,2814,sub,"Video Calls, Voice & Text Chat App collects location data to enable to sharing of live location app needs access to user location all the time including while the app is in the background.",188,<first>,<error>
"When you share your live location in any chat or turn on the Make me visible"" feature in the People Nearby menu, Video Calls, Voice & Text Chat App will use your data to display your location to users who are nearby even when the app is closed until you deactivate the feature","When you share your live location in any chat or turn on the Make me visible"" feature in the People Nearby menu, Video Calls, Voice & Text Chat App will use your data to display your location to users who are nearby even when the app is closed until you deactivate the feature",100.0,3003,sub,"When you share your live location in any chat or turn on the Make me visible"" feature in the People Nearby menu, Video Calls, Voice & Text Chat App will use your data to display your location to users who are nearby even when the app is closed until you deactivate the feature",276,<first>,<error>
