decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy of NiceEyesLivePrivacy Policy ofNiceEyesLiveThis Application collects some Personal Data from its Users.This document can be printed for reference by using the print command in the settings of any browser.,220,<generic>,<error>
Policy Summary,Policy summary,100.0,225,main,Policy summary,14,<generic>,<other>
Personal Data Processed,Personal Data processed,100.0,240,main,"Personal Data processed for the following purposes and using the following services:AdvertisingAdMobPersonal Data: Cookies; unique device identifiers for advertising (Google Advertiser ID or IDFA, for example); Usage DataAnalyticsGoogle AnalyticsPersonal Data: Cookies; Usage DataHosting and backend infrastructureFirebasePersonal Data: various types of Data as specified in the privacy policy of the serviceInteraction with external social networks and platformsGoogle+ +1 button and social widgets",499,<first>,<other>
Personal Data Processed,Personal Data processed,100.0,240,main,Personal Data: Cookies; Usage DataSocial featuresInviting and suggesting friendsPersonal Data: various types of Data,116,<first>,<other>
Information on Opting Out of Interest-Based Advertising,Information on opting out of interest-based advertising,100.0,871,main,"Information on opting out of interest-based advertisingIn addition to any opt-out feature provided by any of the services listed in this document, Users may follow the instructions provided byYourOnlineChoices(EU),  theNetwork Advertising Initiative(US) and  theDigital Advertising Alliance(US),DAAC(Canada),DDAI(Japan)",319,<first>,<why>
Information on Opting Out of Interest-Based Advertising,Information on opting out of interest-based advertising,100.0,871,main,  or other similar initiatives. Such initiatives allow Users to select their tracking preferences for most of the advertising tools. The Owner thus recommends that Users make use of these resources in addition to the information provided in this document.The Digital Advertising Alliance offers an application calledAppChoicesthat helps Users to control interest-based advertising on mobile apps.,396,<first>,<why>
Information on Opting Out of Interest-Based Advertising,Information on opting out of interest-based advertising,100.0,871,main,"Users may also opt-out of certain advertising features through applicable device settings, such as the device advertising settings for mobile phones or ads settings in general.",176,<first>,<why>
Contact Information,Contact information,100.0,1781,main,Contact information,19,<contact>,<error>
Owner and Data Controller,Owner and Data Controller,100.0,1801,main,"Owner and Data ControllerVysion Apps Limited,Owner contact email:vysionapps@gmail.comFull policyOwner and Data ControllerVysion Apps Limited,Owner contact email:vysionapps@gmail.com",181,<first>,<other>
Types of Data Collected,Types of Data collected,100.0,1991,main,Types of Data collectedAmong the types of ,42,<first>,<what>
