decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,KBZ iBankingPrivacy PolicyHomePrivacy PolicyWelcome to the website of KBZ Bank Ltd. This ,89,<error>,<error>
Privacy Notice,Privacy Notice,100.0,93,main,Privacy Notice forms a part of the terms and conditions and applies on your relationship with KBZ Bank and its related corporations and should be used in conjunction with those Terms and Conditions. This policy applies to any individual's and corporate's data which is in our possession or under control.                        ,328,<generic>,<error>
Personal Data,Personal Data,100.0,423,main,"Personal Data include any data that can be used to identify a person such as Personal Particulars your NRIC number, Name, passport No, Home Address, other identification number, telephone number, education details..etc.), Specimen signatures , employment details, banking information, images and voice recording of our conversation with you and any other information relating to personals which you have",403,<generic>,<error>
"Purposes for which we collect, use and disclose your Personal Data"," provided to us.
KBZ collects, usesand disclose your Personal Data",77.27272727272727,826,main," provided to us.KBZ collects, usesand disclose your Personal Data for the following purposes ,",94,<first>,<why>
"Developing our banking products, services and facilities","Developing our banking products, services and facilities",100.0,922,sub,"Developing our banking products, services and facilities.",57,<first>,<how-used>
Processing your application for other products or services,Processing your application for other products or services,100.0,980,sub,Processing your application for other products or services offered by us (including but not limited to third party products) the requests and instructions from you or other customer.,182,<first>,<how-used>
"Evaluating your assets, credits and eligibility profile","Evaluating your assets, credits and eligibility profile",100.0,1163,sub,"Evaluating your assets, credits and eligibility profile from time to time.",74,<first>,<how-used>
Verifying your identity,Verifying your identity,100.0,1238,sub,Verifying your identity for the purpose of performing bank account verification service for paying organizations.,113,<first>,<how-used>
Conducting credit checks or screening,Conducting credit checks or screening,100.0,1352,sub,"Conducting credit checks or screening which are required by the law, regulation or directive.",93,<first>,<how-used>
Legal purposes,Legal purposes,100.0,1446,sub,"Legal purposes (including but not limited to enforcing our legal rights, reviewing documents, obtaining legal advice and facilitating dispute resolutions)",154,<first>,<how-used>
Handling customer feedback or complaints,Handling customer feedback or complaints,100.0,1601,sub,Handling customer feedback or compla,36,<first>,<how-used>
"Financial reporting, management reports, regulatory reporting and audit purposes","ints.
Financial reporting, management reports, regulatory reporting and all othe",87.5,1637,sub,"ints.Financial reporting, management reports, regulatory reporting and all other forms of reports, risk management (including monitoring credit exposures) and audit purpose reports.For compliance with domestic and internat",222,<first>,<how-used>
Compliance with anti-money laundering and counter terrorism financing regulations,ional anti-money laundering and counter terrorism financing (AML/CTF) regulations,83.9506172839506,1861,sub,"ional anti-money laundering and counter terrorism financing (AML/CTF) regulations, standards and obligations.",109,<first>,<how-used>
Creating and maintaining credit and risk related models,Creating and maintaining credit and risk related models,100.0,1971,sub,Creating and maintaining credit and risk related models.Purposes w,66,<first>,<how-used>
Purposes reasonably related to the above,hich are reasonably related to the above,85.0,2038,sub,hich are reasonably related to the above mentioned statements.We may use your personal data for ,96,<first>,<why>
Marketing Purposes,marketing purposes,100.0,2135,main,marketing purposes to offer you product and services including special offers and other entitlements that may be of interest to your or which you may be eligible. We may also collect and use your personal data for the purpose of sharing such Data with co-brand partner for marketing and promoting which the co-brand partner thinks may be of interest to you.,357,<first>,<why>
Marketing Purposes,marketing purposes,100.0,2135,main,"Your Personal Data held by us shall be kept confidential but we may from time to time in compliance with applicable laws on data privacy, disclose your personal data to any KBZ group of companies or to third parties whether located in Myanmar or elsewhere for the purpose of carrying out the purposes set out above.",315,<first>,<why>
Marketing Purposes,marketing purposes,100.0,2135,main,"By providing personal data relating to third party (e.g information of your husband/wife, partner, children, parents, friends,) to us, you represent and authorize that their permission has been obtained for the collection, use an",229,<first>,<why>
Disclosure of Personal Data,d disclose of Personal Data,92.5925925925926,3038,main,d disclose of Personal Data for the above listed purposesWe use ,64,<third>,<what>
Cookies,cookies,100.0,3103,main,"cookies to monitor browsing preferences.As KBZ relies on your Personal Data provided, we are encourage you to provide the correct, accurate and completed data to us. You shall ensure at all time the information provided are updated in a timely manner of all changes to the provided information to KBZ.Your personal data is retained as long as we need for the above mentioned purposes until it is no longer necessary for any other business and legal purposes.This notice does not detract from the ",496,<tracking>,<how-gathered>
Terms and Conditions,Terms and Conditions,100.0,3602,main,"Terms and Conditions and other local and regional law and rights. Other rights of data collections, use and disclosure available are not limited under this KBZ privacy statement.You may withdraw or make corrections to your personal data held by KBZ. However, KBZ may charge a fee and shall take a reasonable period of time to process your request. Such fee and time may depend the nature and complexity of your request. Please contact ( informationsecurity@kbzbank.com )on how you may request such cases.",504,<access>,<other>
Terms and Conditions,Terms and Conditions,100.0,3602,main,2017 © KBZ Bank Limited. All Rights Reserved.,45,<access>,<other>
