decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"PrivacyPolicy-MobileGoMobileGorespects your privacy and takes a careful attitude towards user informationsecurity. When you install MobileGo, upon your agreement, MobileGo shall, outof providing data transfer services, improving service quality and datacollection accuracy, collect and process some data related to your mobiledevice and data types.Beforeusing the Application, please read carefully the following ",413,<error>,<error>
Privacy Policy,privacy policy,100.0,421,main,"privacy policy whichprovides you, as the user of the Website and/or Application (the “User” or“You”), with the relevant information regarding the various processing ofpersonal data implemented by MobileGo, and frequently learn about the privacypolicy updates. If you disagree with the following privacy policy, please stopusing the Application and uninstall it.MobileGofully comprehends the importance of your personal information, and will be",443,<generic>,<error>
Privacy Policy,privacy policy,100.0,421,main,"devoted to protecting the security and reliability of your personal information.MobileGo shall be committed to maintaining your trust, and abide by thefollowing principles to protect your personal information:1)Compliance of rights and obligations;2)Explicitness of goals;3)Agreement upon choosing;4)Minimum utilization;5)Security assurance;6)User participation;7)Publicity and transparency.Meanwhile,MobileGo shall take sufficient security measures to protect your personal",474,<generic>,<error>
Privacy Policy,privacy policy,100.0,421,main,information by adhering to the mature security standards in the industry.1.,75,<generic>,<error>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"INFORMATION COLLECTIONThefollowing information shall be collected during data transfer:1)Device model type;2)Device manufacturer;3)Types of transferred data;4)Data transfer status (success or failure);5)Log data (for example, service use time and duration).Thefollowing information shall not be collected:<![if !supportLists]>1)<![endif]>Data transferred from phone to pc device;<![if !supportLists]>2)<![endif]>Data transferred from phone to phone;2.INFORMATION COLLECTION PURPOSES1)",484,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"To provide you with services or functions, such as to transfer data;2)To optimize MobileGo products and services and improve user experience based onyour tool use and the log data;3)To deliver ads (customization ads and sponsorship contents) and promotioninformation;4)To evaluate and analyze the market, customer, product, and service (includingthe query of your opinions on MobileGo products and services, and customerpolls).3.UTILIZATION OF TOKEN AND RELATED TECHNOLOGIESTo",476,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"ensure that the Application run properly, MobileGo shall save a “token” file onyour device. The token is an identity verification mechanism.The user submitsaccount data to the server initially. The server generates a character string(token) based on specific policies. The token character string contains someuser information and will expire after some time. The server transfers thetoken character string to the client end, which will save it and add it in thesubsequent requests.4.",483,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"SHARING OR DISCLOSING OF YOUR INFORMATION?Withoutyour consent, MobileGo shall never disclose your information to a third partyfor its own marketing or commercial purposes. MobileGo, however, may discloseyour information to the following entities:1)Associated enterprisesYourinformation may be shared with an associated enterprise;2)Business partnersYourinformation may be shared with a business partner of MobileGo;3)Service providersYour",438,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"information may be shared with an enterprise that provides services to MobileGoor acts on behalf of MobileGo;4)Other entities upon your consent on information sharingApartfrom the disclosing situations described in the privacy policy, yourinformation may be shared with a third party upon your consent on informationsharing or request for information sharing.5.PROTECTION OF YOUR PERSONAL INFORMATIONMobileGohas used protection measures that comply with industry standards to protect",483,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"your personal information from unauthorized access, exposure, use,modification, corruption, or loss, and will take all feasible measures toprotect your personal information by ensuring that all collected information isused only on the purposes specified in the privacy policy.Incase of security events concerning your personal information, MobileGo shall,by complying with related laws and regulations, notify you of the following:1)Basic situations and possible implications of the security events;2)",501,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"Counter measures taken or to be taken;3)Comments that advise you to prevent or lower risks proactively;4)Rescue measures.MobileGoshall inform you of the event situations by emails, mails, phone calls,notifications, etc., and dispense announcements in a reasonable and effectivemanner if it may be impossible to inform affected users one by one. Meanwhile, MobileGoshall report to authorities on how the security events are addressed bycomplying with the requirements of supervision departments.6.YOUR RIGHTS",507,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"Accordingto the laws, regulations, and standards in China, and common practices in othercountries and regions, MobileGo ensures that you have the following rights onyour personal information:1)Access your personal informationUnless otherwise stipulated by laws and regulations, you have the right toaccess your personal information. Some information may be collected anonymouslyand therefore cannot be accessed.2)Rectify your personal information",446,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,You have the right to demand information rectification when finding that yourinformation processed by MobileGo is incorrect. Some information may becollected anonymously and therefore cannot be rectified.3)Delete your personal informationYou can demand the deletion of your personal information in the followingsituations:a. Your personal information is processed by violating laws and regulations;b. Your personal information is collected and processed without your consent;,475,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"c. Your personal information is processed by violating the agreement;d. You no longer use the MobileGo products or services, or have cancelled youraccount.Someinformation may be collected anonymously and therefore cannot be deleted.If deciding to follow your deletion request, MobileGo shall also demand thatits related entities that hold your personal information should delete it in atimely manner, unless the cases are otherwise stipulated by laws and",454,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"regulations, or such entities have obtained your permission independently of MobileGo.When your personal information is deleted from related services, MobileGo maynot synchronize the information deletion in the system immediately, but willdelete the required information during backup updates.4)Change the authorized scopeEach service function requires some basic personal information forimplementation. Refusal to provide such information may result in the failure",465,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"to deliver the corresponding services to you. You can grant or cancel yourpermission anytime on the collection and use of additional personalinformation.5)Limit the auto decision of the information systemIn some service functions, decisions may be made based on non-humandecision-making mechanisms, such as the information systems and algorithms. Ifsuch decisions affect your rightful benefits, you have the right to demand anexplanation from MobileGo, who will, therefore, provide proper redressingmeasures.",508,<generic>,<what>
Information Collection,INFORMATION COLLECTION,100.0,1442,main,"<![if !supportLineBreakNewLine]><![endif]>7.GLOBAL TRANSFER OF YOUR PERSONAL INFORMATIONInprinciple, MobileGo will use a database within the jurisdiction of People’sRepublic of China to store the personal ",205,<generic>,<what>
INFORMATION COLLECTION,information collected ,86.36363636363636,7518,main,information collected and generated inthe jurisdiction of the People’s Republic of China.<![if !supportLineBreakNewLine]><![endif]>8.,133,<first>,<what>
REVISION OF THIS PRIVACY POLICY,REVISION OF THIS PRIVACY POLICY,100.0,7656,main,"REVISION OF THIS PRIVACY POLICYOccasionally,MobileGo may change this privacy policy. In this case, new versions shall bereleased in a timely manner, and you are therefore encouraged to periodicallynote MobileGo-released notices regarding privacy policy changes. Contact us inthe following ways if you have any doubts concerning the privacy policy of MobileGo,contact us.Name: WondershareE-mail: privacy@wondershare.comAddress: Haitian Road, Software Industry Base, Shenzhen, Guangdong, China",491,<error>,<error>
