decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,PRIVACYPOLICYThis ,18,<error>,<error>
Privacy Policy,Privacy Policy,100.0,20,main,"Privacy Policy updated on Feb 21,2021.Please read this Policy carefully. ThisPolicy provides you with information on how we collect, use and/or share theinformation obtained from you. This Policy applies to our Application and doesnot apply to any third party services, websites, software and content that maybe linked to from within the Application.BY ACCESSING, VISITING AND/OR USING THEAPPLICATION, YOU CONSENT TO OUR USE OF ANY INFORMATION THAT YOU PROVIDE TO US",466,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,20,main,"OR OUR PARTNERS IN ACCORDANCE WITH THIS POLICY. IF YOU DO NOT AGREE TO THIS POLICY,DO NOT ACCESS, VISIT AND/OR USE THE APPLICATION._",132,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,630,main,"Information Collection and UseFor a better experience, while using ourService, we may require you to provide us with certain personally identifiableinformation, including but not limited to screen resolution, device model,operating system version, advertising id, viewed and downloaded and installedimages in the application. The information that we request is retained on yourdevice and is not collected by us in any wayThe app does use third party services thatmay collect information used to identify you.",508,<generic>,<what>
Link to privacy policy of third party service providers used by the app,"Link to privacy policy of third party service
providers used by the app",98.59154929577466,1147,main,Link to privacy policy of third party serviceproviders used by the app,70,<third>,<what>
Google,Google,100.0,1219,sub,Google     Play Services,24,<third>,<what>
AdMob,AdMob,100.0,1245,sub,AdMob,5,<third>,<what>
Firebase,Firebase,100.0,1251,sub,Firebase,8,<third>,<what>
Facebook Audience Network,Facebook Audience Network,100.0,1260,sub,Facebook Audience Network,25,<third>,<what>
Mopub,Mopub,100.0,1286,sub,Mopub,5,<third>,<what>
OneSignal,OneSignal,100.0,1292,sub,OneSignal,9,<third>,<what>
Flurry,Flurry,100.0,1302,sub,"FlurryAdvertising IDThe advertising ID is a unique,user-resettable ID for advertising, provided by Google Play services. It givesusers better controls and provides developers with a simple, standard system tocontinue to monetize their apps. It enables users to reset their identifier oropt out of personalized ads (formerly known as interest-based ads) withinGoogle Play apps.",376,<third>,<what>
Log Data,Log Data,100.0,1686,main,"Log DataWe  wantto inform you that whenever you use our Service, in a case of an errorin the app we collect data and information (through third party products) onyour phone called Log Data. This Log Data may include information such as yourdevice Internet Protocol (“IP”) address, device name, operating system version,the configuration of the app when utilizing our Service, the time and date ofyour use of the Service, and other statistics.",442,<first>,<what>
Cookies,Cookies,100.0,2136,main,"CookiesCookies are files with small amount of datathat is commonly used an anonymous unique identifier. These are sent to yourbrowser from the website that you visit and are stored on your device internalmemory.This Service does not use these “cookies”explicitly. However, the app may use third party code and libraries that use“cookies” to collection information and to improve their services. You have theoption to either accept or refuse these cookies and know when a cookie is being",486,<tracking>,<what>
Cookies,Cookies,100.0,2136,main,"sent to your device. If you choose to refuse our cookies, you may not be ableto use some portions of this Service.",114,<tracking>,<what>
Service Providers,Service Providers,100.0,2747,main,"Service ProvidersWe may employ third-party companies andindividuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us inanalyzinghow our Service is used.We want to inform users of this Service thatthese third parties have access to your Personal Information. The reason is toperform the tasks assigned to them on our behalf. However, they are obligatednot to disclose or use the information for any other purpose.",507,<third>,<what>
Security,Security,100.0,3267,main,"SecurityWe have implemented security safeguardsdesigned to protect your personal information in accordance with industrystandards. We limit access to your information on our servers, and it ispassword-protected/encrypted. We also regularly monitor our servers forpossible vulnerabilities and attacks. Nevertheless, as the Internet is not a100% secure environment, we cannot guarantee the security of any informationthat you transmit to us. There is no guarantee that information on our servers",493,<security>,<why>
Security,Security,100.0,3267,main,"may not be accessed, disclosed, altered, or destroyed by breach of oursafeguards.",81,<security>,<why>
Links to Other Sites,Links to Other Sites,100.0,3851,main,"Links to Other SitesThis Service may contain links to othersites. If you click on a third-party link, you will be directed to that site.Note that these external sites are not operated by us. Therefore, we stronglyadvise you to review the Privacy Policy of these websites. We have no controlover and assume no responsibility for the content, privacy policies, orpractices of any third-party sites or services.",408,<access>,<how-used>
Children’s Privacy,Children’s Privacy,100.0,4266,main,"Children’s PrivacyWe do not knowingly collect personalinformation from children under the age of 13. If we become aware that a childunder that age has provided us with personal information, we take steps toremove such information from our servers. If you become aware that your childhas provided us with personal information, please contact us.",344,<audience>,<how-gathered>
Modifying Your Personal Information,Modifying Your Personal Information,100.0,4616,main,Modifying Your Personal Information.You have a right to request that we deleteany of your personal information in our possession by sending us an email (withyour expressed request) using the Contact Us button inside the Application. Wewill generally delete your information within 30 days of receipt of yourrequest.,315,<choice>,<how-gathered>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4937,main,"Changes to This Privacy PolicyWe may need to change this Policy from timeto time in order to address new issues and to reflect changes to theApplication or applicable law. We reserve the right to revise or make anychanges to this Policy in our sole discretion, and your continual use of theApplication subsequent to any changes to this Policy shall conclusively meanthat you accept such changes. You can tell when this Policy has been updated bychecking the last updated date posted on the top of this page.",507,<change>,<when>
Privacy Policies of bundled Services and SDKs,Privacy Policies of bundled Services and SDKs,100.0,5452,main,"Privacy Policies of bundled Services and SDKsFor us to be able to deliver the Applicationand its functionalities to you, we use third party sub-suppliers, to whom wemay transfer data. Our sub-suppliers have all guaranteed that they will live upto the terms of this privacy policy, including ensuring safe-keeping of yourpersonal data. With your acceptance of this Privacy Policy and by using theApplication, you agree to the processing of your data in the form of a transferto third parties.",491,<third>,<other>
Privacy Policies of bundled Services and SDKs,Privacy Policies of bundled Services and SDKs,100.0,5452,main,"All of our sub-suppliers reserve the right touse the transferred information for statistics and user support withoutrestrictions regarding applicability in time. Please note that we may alsodisclose information associated with you as well as contactinfor-mationto third parties if required by law, in order to protect or defend our ownrights.",342,<third>,<other>
Facebook ads preferences,Facebook ads preferences,100.0,6300,main,Facebook ads preferencesYou can manage your Facebook ads preferenceshere:https://m.facebook.com/ads/ad_choices,110,<third>,<when>
Contact Us,Contact Us,100.0,6414,main,"Contact UsIf you have any questions or suggestionsabout our Privacy Policy, do not hesitate to contact us[email protected]",122,<contact>,<other>
