decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Network Browser Privacy Policy,Network Browser Privacy Policy,100.0,0,main,"Network Browser Privacy PolicyNetwork Browser Privacy PolicyUpdated November 6, 2022Network Browser is developed and published byApe Apps, LLC.  Ape Apps collects absolutely no personally identifiable information about our users without express consent.  Network Browser does utilize some online services, and you should review how they are used below.",352,<error>,<error>
Install and Error Tracking,Install and Error Tracking,100.0,358,main,Install and Error Tracking,26,<error>,<error>
Network Browser utilizes Ape Apps' own in-house installation and error tracking server,Network Browser utilizes Ape Apps' own in-house installation and error tracking server,100.0,385,sub,"Network Browser utilizes Ape Apps' own in-house installation and error tracking server, and absolutely no information is shared with any third parties whatsoever.  ",164,<first>,<error>
The server keeps a record of the date and time that the app was installed,The server keeps a record of the date and time that the app was installed,100.0,549,sub,"The server keeps a record of the date and time that the app was installed, ",75,<error>,<error>
"what operating system the device is using (Android, iOS, Windows, etc), and which version of the app was installed","what operating system the device is using (Android, iOS, Windows, etc), and which version of the app was installed",100.0,624,sub,"what operating system the device is using (Android, iOS, Windows, etc), and which version of the app was installed.  ",117,<first>,<error>
"In the event that the app has a crash or error, a message is also sent to the server","In the event that the app has a crash or error, a message is also sent to the server",100.0,741,sub,"In the event that the app has a crash or error, a message is also sent to the server ",85,<error>,<error>
containing which line of code caused the crash so that the developers can identify and address the issue for the next update,containing which line of code caused the crash so that the developers can identify and address the issue for the next update,100.0,826,sub,containing which line of code caused the crash so that the developers can identify and address the issue for the next update.,125,<error>,<error>
Google AdMob,Google AdMob,100.0,952,main,Google AdMob,12,<error>,<error>
"Network Browser is monetized using the Google AdMob advertising network, for non-premium users","Network Browser is monetized using the Google AdMob advertising network, for non-premium users",100.0,965,sub,"Network Browser is monetized using the Google AdMob advertising network, for non-premium users.  ",97,<third>,<error>
"Unless opted out by the user, AdMob utilizes the device advertising id in order to serve personalized ads to the user","Unless opted out by the user, AdMob utilizes the device advertising id in order to serve personalized ads to the user",100.0,1062,sub,"Unless opted out by the user, AdMob utilizes the device advertising id in order to serve personalized ads to the user.  ",120,<third>,<error>
