decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"NutriU | PhilipsFor consumersBackFor consumersProduct supportExperiencePromotionsRegister your productParts & AccessoriesFor professionalsBackFor professionalsHealthcareLightingOral HealthcareAutomotiveProfessional Dictation SolutionsProfessional display solutionsPhilips Engineering SolutionsB2B rewards programs solutionAbout PhilipsBackAbout PhilipsAbout usNews centerInnovationEnvironmental, Social and GovernanceInvestor relationsCareerssupport search iconSearch termsUnited KingdomNutriU Privacy Notice",508,<error>,<error>
,,-1.0,0,,"This Privacy Notice was last updated on June 1st, 2022.",55,<error>,<error>
,,-1.0,0,,"The Philips NutriU app (“App”) provides you with personalized nutrition services, creates a community to share cooking related content and allows you to follow other community members with similar interests around the world. The App may also provide you with offers on our products and/or third party offers (“Services”). The App uses personal data collected or processed through the App, including personal data processed by any Philips kitchen appliance that you decide to pair with the App (for example, a Philips blender) (“Device”).",537,<error>,<error>
,,-1.0,0,,"The purpose of this Privacy Notice is to help you understand our privacy practices when you use our Services, including what information and personal data we collect, why we collect it, and what we do with it, as well as your individual rights. This Privacy Notice applies to personal data collected or processed by the App, which is controlled by or under control of Philips Domestic Appliances Nederland B.V. or any of its affiliates or subsidiaries (”Philips Domestic Appliances”, “our”, “we” or “us”).",505,<error>,<error>
,,-1.0,0,,"Please also read our Terms of Use, which describe the terms under which you use our Services.",93,<error>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"What Personal Data are collected and for which PurposesWe receive or collect personal data, as described in detail below, when we provide our Services, including when you access, download and install the App. We associate your personal data with unique identifiers.Sensitive Personal DataBefore collecting any sensitive data, we will inform you and ask your explicit consent.",375,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"Other than that, we ask you not to send or disclose any sensitive personal data (e.g., social security numbers, information related to racial or ethnic origin, political opinions, religious, philosophical or other beliefs, health, sex life or sexual orientation, biometrics or genetic characteristics, criminal background or trade union membership) to us, in or through the App, or by any other means.Account Data",413,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"We collect your personal data when you create an account. You may login to the App using a MyPhilips account or by using your social media profile, including your Apple account.The personal data we collect may include your name, email address, country, language and password. We also process information on your App usage, including your session, login and authentication information, which we use to manage your account.",421,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"If you log in via social media, the personal data we collect may include your basic public profile (e.g., full/short name, profile photo, identifier, gender, profile URL, birthday, homepage, and location) and your email address, which we use for authentication purposes. In this case, your social media provider may collect information on the fact that you are using the App and logging in using your social media account. Please read your social media provider’s Privacy Notice (e.g.,Facebook,Google,Apple",506,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,") to learn about their privacy practices, including, what type of personal data they collect, and how they use, process and protect them.",137,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"We use your Account Data to create and manage your account and provide personalized Services. You can use your account to securely login to the App. If you create a MyPhilips account to login to the App, we will send you a welcoming email to verify your username and password, to communicate with you in response to your inquiries, to send you strictly service-related announcements, or direct marketing communications in case you have opted-in. You may also use your MyPhilips account to order a Philips Domestic Appliances product or service, participate in a promotion or game, participate in a social media activity related to a (Philips Domestic Appliances) promotion (for example clicking ""like"" or ""share""), and participate in product testing or surveys.",761,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"Because we use your Account Data to provide the Services, we consider this processing to be necessary for the performance of a contract to which you are party.Click here to read moreClick here to read lessOther Provided DataWhen using the App, you can create a profile consisting of your name/nickname, a short description of yourself, your home country, your generated and favorited content and other profiles you follow. We process these details together with your private settings including your preferred cuisines, unit system, Devices you own and information we observe when you use our Services.",601,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"We use this personal data to provide personalized Services and make you part of a community that shares cooking related content, where you can follow other community members with similar interests. We use your private settings in combination with your activity in the social community to provide you with a personalized experience of the App by presenting content that is most relevant for you, as well as sending you push notifications and/or In-App messages. These notifications or messages could contain content of third parties that we have decided to partner with in the context of the App. We do this by analyzing the data collected and using specific recommendation and filtering algorithms.",698,<generic>,<error>
What Personal Data are collected and for which Purposes,What Personal Data are collected and for which Purposes,100.0,1735,main,"In some countries, the Services include the ‘Community’ feature, which allows you to see recipes from other members in your country, share your own recipes and post comments. As part of the ‘Community’ feature (i) you will easily see the foods you prefer, and your Device (s) model (e.g., Air fryer model); and (ii) other users may see your username, country, photo, your connections in the App, and the recipes you store in the App. The App will show whether the ‘Community’ feature is available in your country.",513,<generic>,<error>
