decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy policy for BubbleUPnPContact:bubblesoftproducts@gmail.comLast update:May 26th 2022This document describes what information is accessed or collected by BubbleUPnP and how it is used.It also describes use of Android permissions.,234,<error>,<error>
Ads,Ads,100.0,241,main,AdsThe free version of BubbleUPnP displays banner ads provided by Google Admob.,79,<error>,<error>
Cookies and other means,Cookies and other means,100.0,322,main,"Cookies and other means (advertising ID) may be used by Google Admob to present personalized ads.The Google Mobile Ads SDK collects some data (ip address, user product interactions, diagnostic information, device and account identifiers) for advertising, analytics, and fraud prevention purpose.This data is transmitted securely, using encryption via TLSThe paid version of BubbleUPnP removes ads entirely, disabling  data collection described above.",450,<first>,<error>
Anonymous crash reports,Anonymous crash reports,100.0,776,main,"Anonymous crash reportsWhenever BubbleUPnP crashes, a crash report containinganonymouscrash data is sent securely online, for fixing crashes and improve BubbleUPnP.A crash report is kept for a maximum of one month (starting from the submission date), after which it is permanently deleted.The user can choose at any time to disable sending automated crash reports within BubbleUPnP, in More > Gear icon > Control > Send crash reports.",434,<first>,<error>
Access to cloud services,Access to cloud services,100.0,1216,main,"Access to cloud servicesBubbleUPnP allows the user to optionally access media (music, videos, images) hosted by these cloud services: Google Drive, OneDrive, Dropbox, Box, TIDAL, Qobuz.The sole purpose is to access media hosted by these services for playback on devices supported by BubbleUPnP (core functionality of the app).Each cloud service can only be accessed after the user granted access to it by authenticating to the service.Each cloud service is accessed securely, using encryption via TLS.",501,<first>,<error>
Access to cloud services,Access to cloud services,100.0,1216,main,"The user can revoke access to a cloud service at any time in-app, in More > Gear icon > Local and Cloud > (cloud service) > Revoke access.",138,<first>,<error>
Use of permission,Use of permission,100.0,1861,main,Use of permission ,18,<first>,<error>
READ_EXTERNAL_STORAGE,READ_EXTERNAL_STORAGE,100.0,1879,sub,"READ_EXTERNAL_STORAGEThis permission is used to be able to access the media stored on external storage for playback.On Android 6 and higher,this permission is asked when a feature requires it.Use of permission ",210,<first>,<error>
WRITE_EXTERNAL_STORAGE,WRITE_EXTERNAL_STORAGE,100.0,2094,sub,"WRITE_EXTERNAL_STORAGEThis permission is used for writing to external storage for storing downloads and caching.On Android 6 and higher,this permission is asked when a feature requires it.Use of permission ",206,<first>,<error>
READ_PHONE_STATE,READ_PHONE_STATE,100.0,2305,sub,READ_PHONE_STATEThis permission will be asked if the user enable the optional 'Mute on phone call' feature so the appcan be notified by the system that the phone is ringing and mute playback accordingly.Use of permission ,221,<first>,<error>
RECORD_AUDIO,RECORD_AUDIO,100.0,2529,sub,RECORD_AUDIOThis permission will be asked if the user enable the optional 'Audio Cast' feature so the appcan record audio from other apps for playback on supported devices.,172,<first>,<error>
