decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy Policy | edXSkip to main contentToggle mobile menuSign InRegister for freeCoursesAll Courses & ProgramsPrograms & DegreesDegrees & ProgramsNewSchools & PartnersSchools & PartnersedX For BusinessSearch for courses and programsSubmit your search querySubmit your search queryClose site banner.,299,<error>,<error>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"edX Privacy PolicyLast Updated: December 15, 2022edX Cookie PolicyedX LLC (a2U, Inc.company, also â€œedX,â€ â€œwe,â€ or â€œusâ€ in this Privacy Policy) cares about the confidentiality and security of your information. edX operates theedX Site, which consists of content and pages located within the edX.org web domain and edX mobile applications.The edX Site allows you to:",376,<generic>,<other>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"Browse courses and programs offered by edX, our Members (as defined below), 2U, Inc. (the parent company of edX) and 2U, Inc.â€™s subsidiaries (together â€œ2Uâ€), 2Uâ€™s partners, and other, non-Member institutions;Create an edX account;Sign up to receive more information about some courses and programs on the edX Site;Enroll in some of the courses on the edX Site; and",372,<generic>,<other>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"Participate in some of the courses on the edX Site, including engaging with course content, taking tests, obtaining your results and any certificates, and providing feedback following a course.Some courses available on the edX Site are offered by ourMembers. This term refers to educational institutions or other leading global entities that create courses and/or programs using tools provided by edX and offer those courses directly to you through the edX Site.",462,<generic>,<other>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"Other courses and programs are viewable on the edX Site but are provided by educational institutions, corporate, and non-profit partners that are not Members and/or are offered in partnership with 2U.ÂSigning up to receive more information about, enrolling in, or participating in these courses or programs may take place on third-party sites (or, in some cases, sites operated by 2U) that are not subject to this Privacy Policy.",429,<generic>,<other>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"Â The privacy policies explaining how your Personal Information (as defined below) will be collected, used, and disclosed when you enroll and participate in those courses and programs, and your rights over your Personal Information, will be made available to you when you visit the relevant site, begin the enrollment process, or start the course or program, as applicable.",373,<generic>,<other>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"This Privacy Policy describes how edX collects, uses, and shares your Personal Information when you interact with the edX Site or when someone interacts with the site on your behalf (e.g., the Learning & Development administrator for the institution sponsoring your enrollment). The term â€œPersonal Informationâ€ (as used throughout this Privacy Policy) is information that relates to an individual who can be directly or indirectly identified.",446,<generic>,<other>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"This Privacy Policy also describes how edX uses your Personal Information when you interact with edX on certain other sites (e.g., on social media sites). Finally, it describes how Members collect, use, and share your Personal Information when you enroll in courses offered by those Members on the edX Site.",307,<generic>,<other>
edX Privacy Policy,edX Privacy Policy,100.0,316,main,"If you do not agree with the terms of this Privacy Policy, please do not access, browse, or create an account on the edX Site, enroll in any courses, or complete any form requesting additional information about offerings on the edX Site. Any version of this Privacy Policy in a language other than English is provided for convenience, and the English language version is the authoritative version if there is any conflict.",422,<generic>,<other>
CONTENTS OF THIS PRIVACY POLICY,CONTENTS OF THIS PRIVACY POLICY,100.0,3526,main,"CONTENTS OF THIS PRIVACY POLICYInformation that edX collects from and about you (including Personal Information)How edX uses your Personal InformationHow edX shares your Personal InformationHow Members collect, use, and share your Personal InformationHow to manage your Personal InformationNotice for California ConsumersStorage & SecurityPrivacy Policy updatesContact information",380,<generic>,<other>
