decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy Policy: Property24.comPlease note that you are using an outdated browser which is not compatible with some elements of the site.                            We strongly urge you to update toEdgefor an optimal browsing experience.For SaleProperty for SaleCommercial Property for SaleRepossessionsAuctionsOn ShowRetirement Property for SaleDevelopments for SaleSold House PricesBuy Property ReportsTo RentHouse to RentApartment / Flat to RentCommercial Property to RentRetirement Property to Rent,501,<error>,<error>
,,-1.0,0,,Developments to RentFind Letting AgentsDevelopmentsDevelopments for SaleDevelopments to RentRetirement Developments for SaleRetirement Developments to RentCommercialCommercial Property for SaleCommercial Property to RentCalculatorsMortgage Bond CalculatorAffordability CalculatorAdditional Payment CalculatorBond and Transfer CalculatorAdviceProperty NewsProperty AdviceSelling Your HouseBuyer's GuideProperty Tools & ServicesTrends and StatisticsSold House PricesBuy Property ReportsFind Estate Agents,502,<error>,<error>
,,-1.0,0,,Find AttorneysProperty24 Home LoansList PrivatelySell Your PropertyRent Your PropertyLogin|Sign Up1AlertsManage AlertsLoginorSign Upto be notified of the latest listings as they arrive!{{price}}{{text}}{{area}}{{type}}{{timeAgo dateInMilliseconds}}For SaleFor SaleTo RentSold PricesDevelopmentsEstate AgenciesAttorneyTrendsNews,327,<error>,<error>
Property24 Privacy Policy,Property24 Privacy Policy,100.0,1404,main,Property24 Privacy PolicyWe respect your privacy. Callouts like this are a summary of our privacy policy and contain the most important and relevant points for you. Please read the full privacy policy because it applies to you.,227,<generic>,<other>
1. Introduction,1. Introduction,100.0,1633,main,"1. IntroductionWelcome to our privacy policy. We respect your privacy and take the protection of personal information very seriously. We understand that your trust is our most important asset.Property24 is owned and operated by HomeFind24 (Pty) Ltd.Company registration number: 2008/019235/07Registered address: Great Westerford, 240 Main Road, Rondebosch, Cape Town, 7725To provide you with our full range of Property24 products and services we need to collect and process certain information about you.",504,<generic>,<other>
1. Introduction,1. Introduction,100.0,1633,main,"The purpose of this policy is to describe the way that we collect, store, use, and protect information that can be associated with you or another specific natural or juristic person and can be used to identify you or that person (personal information).This privacy policy must be read in conjunction with ourTerms & Conditions.The purpose of this policy is to describe the way that we handle your personal information.",418,<generic>,<other>
2. Audience,2. Audience,100.0,2568,main,"2. AudienceThis policy applies to you if you are:a visitor to our website, mobile site, applications (""apps"") ora customer who has ordered a product, or requested a service that we provide, oran estate agency making use of our services, oranyone contacting us by phone, SMS, email, in letters and other correspondence, and in person.This policy applies to you under certain circumstances.",388,<audience>,<other>
3. Personal information,3. Personal information,100.0,2963,main,3. Personal informationPersonal information includes:certain information that we collect automatically when you visit our website;certain information collected on registration (see below);certain information collected on submission; andoptional information that you provide to us voluntarily (see below);but excludes:information that has been made anonymous so that it does not identify a specific person;permanently de-identified information that does not relate or cannot be traced back to you specifically;,509,<generic>,<what>
3. Personal information,3. Personal information,100.0,2963,main,"non-personal statistical information collected and compiled by us; andinformation that you have provided voluntarily in an open, public environment or forum including any blog, chat room, community, classifieds, or discussion board (because the information has been disclosed in a public forum, it is no longer confidential and does not constitute personal information subject to protection under this policy).",410,<generic>,<what>
3. Personal information,3. Personal information,100.0,2963,main,"Personal information includes information we collect (i) automatically when you visit our website, (ii) on registration, (iii) on submission, and (iv) from you voluntarily. It excludes (i) anonymous, (ii) de-identified, (iii) non-personal statistical, and (iv) public information.",280,<generic>,<what>
3.1 Common examples,3.1 Common examples,100.0,4174,sub,3.1 Common examplesCommon examples of the types of personal information which we may collect and process include:identifying information- such as your first name and last name;contact information- such as your phone number and email address;,241,<generic>,<what>
4. Acceptance,4. Acceptance,100.0,4421,main,4. Acceptance,13,<generic>,<other>
4.1 Acceptance required,4.1 Acceptance required,100.0,4435,sub,"4.1 Acceptance requiredYou acknowledge and accept all the terms of this policy when accessing the website to order a product or request our services.If you do not agree with anything in this policy, then you may not access the website and order a product or request our services.You may not order our products or request our services if you do not accept this policy.",367,<choice>,<other>
4.2 Legal capacity,4.2 Legal capacity,100.0,4806,sub,"4.2 Legal capacityYou may not access our website or order a product or request our services if you are younger than 18 years old, or do not have legal capacity to conclude legally binding contracts.",198,<audience>,<other>
4.3 Deemed acceptance,4.3 Deemed acceptance,100.0,5006,sub,"4.3 Deemed acceptanceBy accepting this policy, you are deemed to have read, understood, accepted, and agreed to be bound by all of its terms.",141,<choice>,<other>
4.4 Your obligations,4.4 Your obligations,100.0,5149,sub,"4.4 Your obligationsYou may only send us your own personal information, or the information of another data subject where you have their permission to do so.",156,<generic>,<other>
5. Changes,5. Changes,100.0,5307,main,"5. ChangesWe reserve the right to change the terms of this policy at any time. All changes to this policy will be posted on the website. Unless otherwise stated, the current version shall supersede and replace all previous versions of this policy.If you do not agree with the changes, then you must stop using the website and our products or services. If you continue to use the website or our products or services following notification of a change to the terms, the changed terms will apply to you and you will be deemed to have accepted those updated terms.",560,<change>,<other>
6. Collection,6. Collection,100.0,5870,main,6. Collection,13,<first>,<how-gathered>
6.1 Purposes for collection,6.1 Purposes for collection,100.0,5884,sub,"6.1 Purposes for collectionWe may use or process any product or services information, or optional information that you provide to us for the purposes indicated in this privacy policy. Processing includes gathering your personal information, disclosing it, and combining it with other personal information. We generally collect and process your personal information for various purposes, includingproducts or services purposes- such as collecting orders or requests for and providing our products or services;",508,<first>,<why>
6.1 Purposes for collection,6.1 Purposes for collection,100.0,5884,sub,"marketing purposes- such as pursuing lawful related marketing activities;business purposes- such as business intelligence and analytics, product improvement, internal audit, accounting, business planning, and joint ventures, disposals of business, or other proposed and actual transactions; andlegal purposes- such as handling claims, complying with regulations, or pursuing good governance.We may use any of your personal information that you provide to us for the purposes indicated in this privacy policy.",508,<first>,<why>
6.2 On registration,6.2 On registration,100.0,6911,sub,"6.2 On registrationOnce you register on our website to create an account, you will no longer be anonymous to us. You will need to provide certain personal information when you register on our website.This personal information will include:your first name and surname;your email address;your telephone number;your password.",322,<first>,<when>
6.2 On registration,6.2 On registration,100.0,6911,sub,"If you register using your Google account, Facebook account, or Apple ID, we may collect certain personal information subject to your privacy settings. Please refer to the relevant service provider's privacy policy for further information.We will use this personal information to fulfil your account, provide additional services and information to you as we reasonably think appropriate, and for any other purposes set out in this policy. This includes newsletters and email alerts. If you wish to opt out you can do so by clicking on the unsubscribe link at the bottom of the emails.",584,<first>,<when>
6.2 On registration,6.2 On registration,100.0,6911,sub,"If you are an estate agency, you will need to provide the following personal information:the name of your estate agencythe contact telephone number of your estate agencythe contact email address of your estate agencythe physical address of your estate agencythe first name and surname of all users of your estate agency account;the email addresses of all such users;the telephone numbers of such users;password.",411,<first>,<when>
6.2 On registration,6.2 On registration,100.0,6911,sub,"We will use this information to fulfill your estate agency account, enable you to manage your listings and enable sales leads to be sent to you.We collect certain information on registration, when you register on our website.",225,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"6.3 On product order or service requestWhen you order a product or request a service from us, you will be asked to provide us with additional personal information on a voluntary basis (product or services information).- Placing a listingTo place a listing you will need to provide the following personal information:your province, city, suburbyour street address",362,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"We use this information to ensure users can find your listing in our search results. We require your street address to show the location of your property on a map on our listing page, if you requested this service.We use third party payment providers to manage online card and EFT payment transactions to place listings or buy additional services. Payment information is collected over a secure online payment gateway provided by:Paygate - processed in accordance with their privacy policy.",490,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"https://www.paygate.co.za/privacy-policy/All payment transactions processed are encrypted. Your payment card information is used solely to process payment for your listing. We retain no record of your payment card details.To protect the privacy of our customers when they are communicating with potential buyers / tenants via phone, each customer may request a unique call tracking number be allocated to them. The call tracking number enables customers to keep their telephone numbers private by providing them with a substitute telephone number to use in their listings. All calls made to this unique call tracking number are recorded.",637,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"Our ""Sell Your Property"" listing packages include ""Offer to Purchase Assistance"" by Snymans Attorneys. We may share your personal contact details with Snymans Attorneys so they can contact you and offer you assistance.To place a rental listing the following additional personal information will be required:A copy of your identity documentProof of physical addressWe use this information to verify that you are the owner of the property to be rented.",450,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,- Property enquiry service (Contact Estate Agent or Estate Agency)We also provide a service allowing potential buyers / tenants to contact the Estate Agent or Estate Agency about a certain listing. You will need to provide certain personal information such as;your first name and surname;your email address;your telephone number;This will enable the estate agent or estate agency to make contact with you in order to provide you with further information related to the property you inquired about.,497,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"In certain circumstances, estate agencies and relevant third parties may subsequently transfer, process and store your personal information for their business and administration purposes in accordance with their own privacy policies. If you have queries or require more information on how these estate agencies or third parties use your personal information, please read their privacy policies or contact them directly.",419,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"We may use this personal information to provide additional services and information to you as we reasonably think appropriate, and for any other purposes set out in this policy. This includes newsletters and email alerts. If you wish to opt out, you can do so by clicking on the unsubscribe link at the bottom of the email.",323,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"By accepting this policy, you give us permission to share your personal information related to your property enquiry with financial services providers for the purposes of providing you with offers related to home loans, to the extent that applicable data protection laws allow.- Attorney enquiry serviceWe provide a service allowing buyers to contact a law firm. To utilise this service you will need to provide the following personal information:your first name and surname;your email address;",494,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"your telephone number.This will enable the law firm to make contact with you in order to provide you with property related services.- Property Search, Estate Agency Search, Attorney Search FunctionalityYou will need to supply your province, city or suburb in order to use our search functionality. We will use this information to present you listings matching your search criteria.- Property reports",399,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,We provide a service to potential buyers to purchase property reports. To utilise this service you will need to provide the following personal information:your first name and surname;your email address;This will enable us to send the property report to you.We use third party payment providers to manage online card and EFT payment transactions to buy reports. Payment information is collected over a secure online payment gateway provided by:Paygate - processed in accordance with their privacy policy.,503,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,https://www.paygate.co.za/privacy-policy/All payment transactions processed are encrypted. Your payment card information is used solely to process payment for your listing. We retain no record of your payment card details.-Home loan applicationsWe provide a service to potential buyers to apply for a home loan. To utilise this service you will need to provide the following personal information:your first name and surname;your email address;your nationalityyour employment statusyour tax jurisdiction,502,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,your financial status-Get the best estate agent to help you sellWe provide a service to connect sellers with estate agents in their area. You will need to provide certain personal information to use this service such as:the address of the property you want to sell;your first name and surname;your email address;your telephone number.,334,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,This information will enable us to allocate an Estate Agent to you in your area and verify that you are the owner of the property. Your contact details will enable the allocated Estate Agent to contact you and assist you with selling your property. We use your email address to send you a comprehensive report on the property you want to sell and the local market.,364,<first>,<when>
6.3 On product order or service request,6.3 On product order or service request,100.0,8473,sub,"In certain circumstances, Estate Agencies and relevant third parties may subsequently transfer, process and store your personal information for their business and administration purposes in accordance with their own privacy policies. If you have queries or require more information on how these Estate Agencies or third parties use your personal information, please read their privacy policies or contact them directly.",419,<first>,<when>
6.4 Communicating with us,6.4 Communicating with us,100.0,14729,sub,"6.4 Communicating with usWhen you communicate with us through our customer service channel, you may be requested to provide personal information to us such as your name, email address and contact details. We will use this in order to help resolve your query or complaint. All telephone calls to our customer service are recorded.We collect certain information when you order a product or request our services from us.",417,<first>,<when>
6.5 Messages and updates,6.5 Messages and updates,100.0,15149,sub,"6.5 Messages and updatesWe may send administrative messages and email updates to you about the website. We may wish to provide you with information about new products or services in which we think you may be interested. This means that in some cases, we may also send you primarily promotional messages. We may send you one message to ask you for your opt-in to receive promotional messages. We will not send you promotional messages unless you have chosen to opt-into them.",474,<first>,<how-used>
6.5 Messages and updates,6.5 Messages and updates,100.0,15149,sub,We may use your information to send you administrative messages and email updates to you regarding the website and for marketing purposes where lawful.,151,<first>,<how-used>
6.6. Email alerts and adverts,6.6. Email alerts and adverts,100.0,15777,sub,"6.6. Email alerts and advertsYou are able to subscribe to email alerts for properties based on certain criteria on our website. When you subscribe to such alerts, you consent to the fact that we will be sending you property listings that match those criteria periodically together with associated adverts that may be for third parties. If you no longer wish to receive a particular email alert, you can unsubscribe at any time.",427,<first>,<how-used>
6.7 From browser,6.7 From browser,100.0,16206,sub,"6.7 From browserWe automatically receive and record Internet usage information on our server logs from your browser, such as your Internet Protocol address (IP address), browsing activities, click patterns, version of software installed, system type, screen resolutions, colour capabilities, plug-ins, language settings, cookie preferences, search engine keywords, JavaScript enablement, the content and pages that you access on the website, and the dates and times that you visit the website, paths taken, and time spent on sites and pages within the website (",561,<first>,<how-gathered>
6.7 From browser,6.7 From browser,100.0,16206,sub,"usage information). Please note that other websites visited before entering our website might place personal information within your URL during a visit to it, and we have no control over such websites.We collect certain information from your web browser, including your Internet usage information when you visit our website.",324,<first>,<how-gathered>
6.8 Cookies,6.8 Cookies,100.0,17098,sub,6.8 CookiesWe may place small text files called 'cookies' on your device when you visit our website. Cookies and similar technologies are used to enhance your experience on websites by remembering your preferences etc. For more information please refer to ourcookie policyWe collect certain information from cookies that we may send to your computer to try and give you a personalised experience.,396,<tracking>,<how-gathered>
6.9 Optional details,6.9 Optional details,100.0,17498,sub,"6.9 Optional detailsYou may also provide additional information to us on a voluntary basis (optional information). This includes content or products that you decide to upload or download from our website, or when you enter competitions, take advantage of promotions, respond to surveys, order additional products or services, or otherwise use the optional features and functionality of our website.",398,<first>,<what>
6.9 Optional details,6.9 Optional details,100.0,17498,sub,"We collect certain optional information that you provide when you upload or download content from our website or when you enter competitions, take advantage of promotions, respond to surveys or register and subscribe for certain additional products or services.",261,<first>,<what>
6.10 Recording calls,6.10 Recording calls,100.0,18162,sub,"6.10 Recording callsWe may monitor and record any telephone calls that you make to us, unless you specifically request us not to.We may use any of your personal information that you provide to us for the purposes indicated in this privacy policy.",246,<first>,<how-gathered>
6.11 Consent to collection,6.11 Consent to collection,100.0,18411,sub,"6.11 Consent to collectionWe will request your explicit consent to use your personal information to send you certain information including:Email alertsNewslettersWhere you have given consent to process your personal information, you may withdraw consent at any time by clicking the unsubscribe link in an email alert or newsletter.In certain cases, we will get your consent to use your personal information and you may withdraw your consent at any time.",453,<choice>,<other>
7. Disclosure,7. Disclosure,100.0,18870,main,7. Disclosure,13,<third>,<how-gathered>
7.1 Sharing,7.1 Sharing,100.0,18884,sub,"7.1 SharingWe may share your personal information with:other divisions or companies within the group of companies to which we belong so as to provide joint content and services like registration, for transactions and customer support, to help detect and prevent potentially illegal acts and violations of our policies, and to guide decisions about our products, services, and communications (they will only use this information to send you marketing communications if you have requested their products or services);",515,<third>,<how-gathered>
7.1 Sharing,7.1 Sharing,100.0,18884,sub,"an affiliate, in which case we will seek to require the affiliates to honour this privacy policy;our products or services providers under contract who help provide certain products or services or help with parts of our business operations, including fraud prevention, bill collection, payment services, credit checks, marketing, technology services (our contracts dictate that these product or services providers only use your information in connection with the products or services they supply or services they perform for us and not for their own benefit);",558,<third>,<how-gathered>
7.1 Sharing,7.1 Sharing,100.0,18884,sub,We may share your personal information with third parties for the purposes of fulfilling our obligations to you among other purposes.,133,<third>,<how-gathered>
7.2 Regulators,7.2 Regulators,100.0,20096,sub,"7.2 RegulatorsWe may disclose your personal information as required by law or governmental audit. This will include public authorities, insurance companies, finance companies, automotive advertising companies and/or other agencies. Information shared in this way will not be used for marketing purpose",301,<third>,<how-gathered>
7.3 Law enforcement,7.3 Law enforcement,100.0,20399,sub,"7.3 Law enforcementFor the purposes of the prevention or detection of offences, and/or the apprehension or prosecution of offenders, we may share any information obtained or collected by us with the Police, other public or private sector agencies or representative bodies in accordance with the relevant legislation.We may disclose personal information if required:by a subpoena or court order;to comply with any law;to protect the safety of any individual or the general public; and",483,<third>,<how-gathered>
7.3 Law enforcement,7.3 Law enforcement,100.0,20399,sub,to prevent violation of our customer relationship terms.We may disclose personal information to third parties if required for legal reasons.,140,<third>,<how-gathered>
7.4 Marketing purposes,7.4 Marketing purposes,100.0,21030,sub,7.4 Marketing purposesWe may disclose aggregate statistics (information about the customer population in general terms) about the personal information to advertisers or business partners.,187,<third>,<why>
7.5 Employees,7.5 Employees,100.0,21219,sub,"7.5 EmployeesWe may need to disclose personal information to our employees that require the personal information to do their jobs. These include our responsible management, human resources, accounting, audit, compliance, information technology, or other personnel.",264,<first>,<how-gathered>
