decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,[email protected]+92 41 873 9015Toggle navigationHOMEABOUTSOLUTIONSPORTFOLIOTEAMCAREERCONTACTPrivacyPolicyWe at Content Arcade care about the privacy of the data being shared with        us by our users that is why are dedicated to protecting our client's        privacy. This ,277,<error>,<error>
Privacy Policy,Privacy Policy,100.0,291,main,"Privacy Policy aims to provide our consumers with proper        knowledge regarding what information we collect and why, as well as how we        utilize that information. All the way through this policy.This Privacy Policy has been compiled to serve users who are concerned        about how their 'Personally Identifiable Information (PII)' can be used        online. As per US privacy law and information security, PII is information",435,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,291,main,"        that may be used on its own or with other information to identify, locate,        or contact an individual. We recommend you to read the policy carefully to        get a clear understanding of how we collect, use, or handle your PII        according to our website.",273,<generic>,<other>
Table of Contents,Table of Contents,100.0,1009,main,Table of Contents,17,<generic>,<other>
What is the scope of this Content Arcade Privacy Policy?,What is the scope of this Content Arcade Privacy Policy?,100.0,1027,main,What is the scope of this Content Arcade Privacy Policy?,56,<generic>,<other>
What Information does Content Arcade collect about me?,What Information does Content Arcade collect about me?,100.0,1084,main,What Information does Content Arcade collect about me?,54,<first>,<what>
Data you provide us whenever you create an account,Data you provide us whenever you create an account,100.0,1139,sub,Data you provide us whenever you create an account,50,<first>,<what>
What other Information we collect from you?,What other Information we collect from you?,100.0,1190,sub,What other Information we collect from you?,43,<first>,<what>
What information is automatically collected?,What information is automatically collected?,100.0,1234,sub,What information is automatically collected?,44,<tracking>,<what>
When does Content Arcade collect information?,When does Content Arcade collect information?,100.0,1279,main,When does Content Arcade collect information?,45,<first>,<when>
How does Content Arcade use my Information?,How does Content Arcade use my Information?,100.0,1325,main,How does Content Arcade use my Information?,43,<first>,<how-used>
Does Content Arcade analyze User Content?,Does Content Arcade analyze User Content?,100.0,1369,main,Does Content Arcade analyze User Content?,41,<first>,<how-used>
Right to use Data and Disclosure,Right to use Data and Disclosure,100.0,1411,main,Right to use Data and Disclosure,32,<third>,<how-used>
Does Content Arcade ever share my Information?,Does Content Arcade ever share my Information?,100.0,1444,sub,Does Content Arcade ever share my Information?,46,<third>,<how-gathered>
Does Content Arcade get profit for my Personal Data by selling them?,Does Content Arcade get profit for my Personal Data by selling them?,100.0,1491,sub,Does Content Arcade get profit for my Personal Data by selling them?,68,<third>,<how-used>
Does Content Arcade use cookies?,Does Content Arcade use cookies?,100.0,1560,main,Does Content Arcade use cookies?,32,<tracking>,<how-gathered>
Cookies that we use,Cookies that we use,100.0,1593,sub,"Cookies that we useHow to delete, modify or disable cookies?How do plugins and third-party apps work?Will Content Arcade send me email notifications?Will Content Arcade ever make any of my Personal Data or User Contentpublic?How does Content Arcade handle Do Not Track signals?COPPA (Children Online Privacy Protection Act)Does Content Arcade get information from children?Data transfer, storage, retention, and deletionWhere is my Information stored when shared with Content Arcade?How safe is my Information?",510,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"How can I erase my Personal Data from Content Arcade?How long is my Personal Data stored in the Content Arcade system?What would happen if Content Arcade closes my account?California Online Privacy Protection ActFair Information PracticesFor EEA usersWhat are my rights as a user, and how can I use them?Will this Privacy Policy ever change?Mobile Apps Privacy PolicyContact UsWhat is the scope of this Content Arcade Privacy Policy?This Privacy Policy is integrated into Content Arcade's Terms of Service",505,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"          and License Agreement which can be found at          http://www.contentarcade.com/privacy (the ""Terms of Service"") and relates          to the information acquired by us through your use of Content Arcade's          Site, Software, App, and Services (""Information"") as explained in this          Policy. The use of capitalized terms in this Policy and not otherwise          stated shall have the definition given for those terms in the ""Terms of          Service"".",475,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"What Information does Content Arcade collect about me?Whenever a client interacts with our Software, App, Site, and/or Services,          we may collect a single Information or in combination with other data,          could be used to identify you (""Personal Data""). There will also be some          Information that we collect that is kept in a way that cannot be linked          back to you (""Non-Personal Data"").Data you provide us whenever you create an account",465,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"When you register to use Content Arcade services, you willingly share with          us certain Personal Data, including the following:Your email address, username, contact, and language preferences. When          logging into Content Arcade with a social networking credential, such as          with your Google+ or Facebook account, we will ask for your consent to          access basic information from that account, such as your email address and",449,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"          name. If you want to stop sharing that information with us, you may do so          at any time by removing Content Arcade's access to that account.If you are a paying client, you should provide your payment information.          This is needed to fully deliver any marketable transaction on the Content          Arcade site. We use the data to process and fulfill your transaction. If          you select PayPal® to pay for your order, you will have to provide",470,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"          your credit card number directly to PayPal®. The privacy policy of          PayPal® will apply to the information you provide on the PayPal®          website.What other Information we collect from you?Content Arcade collect this Information as you use the Site, Software, App,          and/or Services:User Content:This includes all text, documents, or other content or information          uploaded, entered, or otherwise transferred by you as part of your use of",474,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"          our Services and/or Software.What information is automatically collected?There is certain information about the devices you use to connect with          Content Arcade and your use of the Site, Software, App, and/or Services are          automatically registered in our systems, including the following:Your location:This is the geographic area or place where you use your devices such as          your computer, cellphone or tablet (as specified by an Internet Protocol",480,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"          [IP] address or similar identifier) when interacting with our Site,          Software, App, and/or Services.Your log data or information:Same like other websites, our servers automatically gather data when you          access or use our Site, Software, App, and/or Services and store it in log          files. This log data may include your IP address, browser type and          settings, browser configuration, the date and time of use, cookie data, and          language preferences.",495,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"Your usage information:This is information about the Content Arcade Site, Software, App, and/or          Services you use and how you use them. We may also attain data from our          third-party affiliates and service providers to examine how consumers use          our Site, Software, App, and/or Services. For example, we will have an idea          on the number of users who are accessing a specific page on the Site and at          which links they normally clicked on. We will use this collected data to",511,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"          better understand and to help in optimizing the Site.Your device information:These are data gathered from your computer or mobile device which include          the type of hardware and software you are using (such as your operating          system and browser type), and also unique device identifiers for devices          that are using the Content Arcade Software.Cookies:Data gathered from cookies are explained in the ""Does Content Arcade use          cookies?"" section and in our Cookie Policy.",509,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"When does Content Arcade collect information?We collect information from you when you fill out a form, subscribe to a          newsletter, place an order, use live chat, open a support ticket, and/or          enter any information on our site.How does Content Arcade use my Information?We at Content Arcade process, use, and record your Information as necessary          to be able to carry out our contract with you and for our legitimate          business interests, including the following:",493,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"to communicate and build a connection with you about your use of our            Site, Software, and/or Services, our product and service announcements,            software updates if any, and to be able to give feedback to your requests            for assistance which includes providing you with account verification            support in the event that you are having problems with accessing your            account or to follow up with you after correspondence.",464,<tracking>,<what>
Cookies that we use,Cookies that we use,100.0,1593,sub,"to help us manage our Site, Software, App, and/or Services, validate            users for security purposes, offer tailored user features and access,            process and deliver transactions, conduct reviews and study, develop            upcoming features, and improve the algorithms and performance of our Site,            Software, App, and/or Services.to send you direct email notifications and special offers about            Content Arcade services, from which you can unsubscribe at any time you",504,<tracking>,<what>
