decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Post-it App Privacy Policy,Post-it® App Privacy Polic,96.15384615384616,0,main,Post-it® App Privacy PolicyPost-it® App Privacy Policy,54,<generic>,<error>
Effective Date,Effective Date,100.0,56,main,"Effective Date: April 12, 20213M understands that privacy is important to you. Please read the following to learn more about how we use and disclose information collected through the Post-it® App (“App”), including personal information. By using the App, you consent to the collection, use, and sharing of information as described in this Privacy Policy. This Privacy Policy is incorporated into and subject to the Post-it® App End User License Agreement.",455,<generic>,<error>
"What information does the App collect, and what does 3M do with it?","What information does the App collect, and what does 3M do with it?",100.0,513,main,"What information does the App collect, and what does 3M do with it?The App collects the following types of information:",119,<first>,<error>
Technical data,Technical data,100.0,634,sub,"Technical data. Technical data, such as information about your usage of the App (e.g., features used, content viewed, dates and times of interactions) and technical data about your device, such as operating system, model, etc. The App collects this technical data automatically when you download the App and as you use it. We use this data to evaluate the usefulness of App features to users and to make improvements to the App.",428,<first>,<error>
Location information,Location information,100.0,1063,sub,"Location information. Location information, meaning precise real-time location information collected using your device's GPS technology. The App uses location information to provide you with a record of addresses of locations where you captured physical Post-it® Notes with the App. This address information is displayed in the App, and included in export formats such as PowerPoint® and PDF. Please note that we will NOT access precise location information from your device unless you grant the App permission to do so; if you do not grant the App permission to access precise location information, your captures will not be stored with address information and no address information will be added to exported formats.",719,<first>,<error>
Images,Images,100.0,1783,sub,"Images. The App provides an optional Handwriting Recognition (“OCR”) feature to recognize and transcribe handwriting on your notes. If you use the OCR feature, then the App will send copies of images you select to be transcribed to a third party service provider to be converted to digital text, after which the third party service provider will return the transcribed text to your device and then discard the copies of your notes. The transcribed text is stored with your notes in the App. Neither 3M nor the third-party provider collects any information about the contents or text of your notes.",597,<first>,<error>
Shared notes,Shared notes,100.0,2381,sub,"Shared notes. The App includes an optional Brainstorming Session feature where you can opt to share selected notes with the host of a remote workshop, such as a brainstorm. If you use the Brainstorming Session feature, i.e. participate in a session, the notes that you select will be temporarily uploaded to the Post-it® Cloud servers so that the session host may download them. Participants enter a display name to connect to a session. The display name is associated with notes that participants choose to share with the host. Shared notes are deleted from the Post-it® Cloud servers and from participants’ devices at the conclusion of the session and are not retained afterwards. After deletion, shared notes are only stored locally on the host’s device.",757,<first>,<error>
We may also collect information from you directly outside of the App,We may also collect information from you directly outside of the App,100.0,3139,sub,"We may also collect information from you directly outside of the App if you provide it to us, for example, based on an inquiry you make associated with the App. In addition, we may collect information about you from third parties and combine it with the information we have collected from you.",293,<first>,<error>
3M uses third-party analytics services,3M uses third-party analytics services,100.0,3433,sub,"3M uses third-party analytics services to collect the technical data above, including services provided by Flurry, Inc., a subsidiary of Oath (Americas) Inc. (“Flurry”). 3M’s third-party analytics services may collect your IP address, device identifiers, and information on how you use the App. Please use the following link for more information about how Flurry collects and uses data when you visit their partners’ websites or apps:https://policies.oath.com/xw/en/oath/privacy/intl/index.html",494,<third>,<error>
3M uses third-party analytics services,3M uses third-party analytics services,100.0,3433,sub,"These third parties may collect information about your online activities over time and across third-party websites. More information on how these analytics providers may collect and use your data, including options for opting out, can be found in the sectionOther Tracking Technologies, below.",293,<third>,<error>
Will 3M share any of the information it receives?,Will 3M share any of the information it receives?,100.0,4225,main,Will 3M share any of the information it receives?,49,<third>,<error>
In addition to any sharing described elsewhere in this Privacy Policy,In addition to any sharing described elsewhere in this Privacy Policy,100.0,4275,sub,"In addition to any sharing described elsewhere in this Privacy Policy, 3M may share any information it collects with:Service providers or business partners who work on our behalf or partner with 3M to provide or improve the App or related products, services, or events, provided that such service providers or business partners may not use any personal information we share with them for their own independent purposes (except on an aggregated, deidentified basis).",465,<error>,<error>
Our affiliates and subsidiaries,Our affiliates and subsidiaries,100.0,4742,sub,Our affiliates and subsidiaries.,32,<third>,<error>
Other entities,Other entities,100.0,4775,sub,"Other entities, to the extent that 3M has a good faith belief that such disclosure is necessary to (a) comply with law, regulatory requirement, judicial proceeding, court order, or other legal process served on us, (b) protect the safety, rights, or property of 3M, you, others or public welfare, or (c) detect, prevent, or respond to fraud, intellectual property infringement, violations of our End User License Agreement.",423,<third>,<error>
We may also otherwise share information we collect with your permission,We may also otherwise share information we collect with your permission,100.0,5199,sub,We may also otherwise share information we collect with your permission.,72,<third>,<error>
"We may also sell, assign, lease, exchange, or publish your information","We may also sell, assign, lease, exchange, or publish your information",100.0,5272,sub,"We may also sell, assign, lease, exchange, or publish your information in conjunction with a corporate sale, merger, dissolution, or acquisition of all or part of our assets, in which case, a surviving or acquiring company will be authorized to use your personal information subject to their own privacy policy.",311,<third>,<error>
Other Tracking Technologies,Other Tracking Technologies,100.0,5584,main,"Other Tracking TechnologiesWe use analytics providers that through technologies such as software development kits, device identifiers, and statistical IDs, are able to capture and remember certain information related to your use of the App. We use these tracking technologies to help us understand our users’ usage patterns on the App so that we can tailor new product features for our users’ benefit to offer better App experiences and tools in the future.",457,<tracking>,<error>
Other Tracking Technologies,Other Tracking Technologies,100.0,5584,main,"This functionality may be disabled by opting out. To opt out, perform the following steps inside the app on the device where you wish to opt out.Go to the “Settings” view in the app.Pick “About the App” and then “Analytics Data”.Deselect “Share information with Post-it®”.The same screen also allows you as a user to view and delete the information that has been gathered by our analytics providers.",399,<tracking>,<error>
How does 3M secure my information?,How does 3M secure my information?,100.0,6447,main,"How does 3M secure my information?We implement a variety of security measures to protect the safety of your information when you enter, submit, or access information in the App.While we take reasonable measures to protect the information you submit via the App against loss, theft, and unauthorized use, disclosure, or modification, we cannot guarantee its absolute security.  No internet, email, or mobile application transmission is ever fully secure or error free.  Email or other messages sent through the App may not be secure.  You should use caution whenever submitting information through the App and take special care in deciding which information you provide us.",672,<security>,<error>
How does 3M secure my information?,How does 3M secure my information?,100.0,6447,main,"Given the nature of communications and information processing technology, we cannot guarantee that your information during transmission through the Internet or while stored on our systems or otherwise in our care will be absolutely safe from intrusion by others. You agree that we are not liable for disclosure of your information due to transmission errors, third-party access, or other reasons beyond our control.",415,<security>,<error>
Where is this information processed?,Where is this information processed?,100.0,7538,main,Where is this information processed?,36,<region>,<error>
Where is this information processed?,Where is this information processed?,100.0,7538,main,"All information collected by the App will be processed in and subject to the laws of the United States, which, if you are not located in the United States, may not provide the same level of protection for your information as your home country. This information may be available to the United States government or its agencies under a lawful order made in the United States. In addition, we may transfer your information outside the United States to our affiliates, business partners, and service providers located in other countries. By using the App and providing us your information, you consent to such transfer of your information to, and processing of your information in, the United States and these other countries.",722,<region>,<error>
What choices do I have?,What choices do I have?,100.0,8298,main,What choices do I have?,23,<choice>,<error>
You may choose not to install the App,You may choose not to install the App,100.0,8322,sub,You may choose not to install the App. ,39,<access>,<error>
