decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Promova | ,10,<error>,<error>
PRIVACY POLICY,Privacy policy,100.0,10,main,Privacy policyGroup lessonsConversation clubEnglish tutorsGroup lessonsConversation clubEnglish tutorsSign inENEnglishУкраїнськаSign inENEnglishУкраїнська,154,<generic>,<error>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,IMPORTANT PRIVACY INFORMATION,29,<generic>,<other>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,"In order to use the service, we will ask you to enter your name, email and answer quiz questions relating to your language skills. We will also automatically collect from your device language settings, IP address, time zone, type and model of a device, device settings, operating system, Internet service provider, mobile carrier, hardware ID, Facebook ID, and other unique identifiers (such as IDFA and AAID). We need this data to provide and customize our services, analyze how our customers use the service and to measure ads.",529,<generic>,<other>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,"For improving the service and serving ads, we use third party solutions. As a result, we may process data using solutions developed byAmazon, Apple, Amplitude, Appsflyer, Google, Firebase, Iterable, Stripe, PayPal, Solidgate, Firestorage, Zendesk, Tableau, Hotjar, ironSource,Intercom.",285,<generic>,<other>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,"Therefore, some of the data is stored and processed on the servers of such third parties. This enables us to (1) analyze different interactions (how often users make purchases, what products our users viewed); (2) serve and measure ads (and show them only to a particular group of users, for example, only to those, who have made a purchase).Please read our Privacy Policy below to know more about what we do with data (Section 3), what data privacy rights are available to you (Section 6",488,<generic>,<other>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,") and who will be the data controller (Section 1). If any questions will remain unanswered, please contact us atsupport@promova.com.PRIVACY POLICYThis Privacy Policy explains what personal data is collected when you use Promova mobile application (the “App”), Promova websites (the “Website”), the services and products provided through them or through other online services necessary for the provision of the Promova services (together with the App and Website, the “Service",475,<generic>,<other>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,"”), how such personal data will be processed.",45,<generic>,<other>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,"BY USING THE SERVICE, YOU PROMISE US THAT (I) YOU HAVE READ, UNDERSTAND AND AGREE TO THIS PRIVACY POLICY, AND (II) YOU ARE OVER 16 YEARS OF AGE (OR HAVE HAD YOUR PARENT OR GUARDIAN READ AND AGREE TO THIS PRIVACY POLICY FOR YOU). If you do not agree, or are unable to make this promise, you must not use the Service. In such case, you must (a) contact us and request deletion of your data; (b) delete the App from your device or leave the Website and not access or use it; and (c) cancel any active subscriptions or trials.",522,<generic>,<other>
IMPORTANT PRIVACY INFORMATION,IMPORTANT PRIVACY INFORMATION,100.0,179,main,"Any translation from English version is provided for your convenience only. In the event of any difference in meaning or interpretation between the English language version of this Privacy Policy available at [LINK], and any translation, the English language version will prevail. The original English text shall be the sole legally binding version.“GDPR",354,<generic>,<other>
