decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,MIUI-ify - ,11,<error>,<error>
Privacy Policy,Privacy Policy,100.0,11,main,"Privacy Policy - Tom Bayley AppsTom Bayley AppsAppsVolume StylesSuper Status BarTile ShortcutsBottom Quick SettingsMIUI-ifyContactTranslateMIUI-ify - Privacy PolicyMIUI-ify does not collect, use or store your data.A list of ",224,<generic>,<error>
Permissions,permissions,100.0,247,main,permissions and the reasons they are required are listed below:,63,<first>,<what>
Accessibility service,Accessibility service,100.0,311,sub,"Accessibility serviceUsed for the Handle/Status bar blacklist - to detect the foreground applicationUsed to keep the service running - so that the quick setting panel can continue to be displayed after removing the application from the recents menuOnly information required for the above points is used. Data is not collected, sent or stored.",342,<third>,<what>
Display Over Other Apps,Display Over Other Apps,100.0,657,sub,Display Over Other AppsFor the app to be able to display the quick setting panel,80,<third>,<what>
Modify System Settings,Modify System Settings,100.0,739,sub,Modify System SettingsTo change the screen brightness and rotation mode,71,<third>,<what>
Read/Write Storage,Read/Write Storage,100.0,812,sub,Read/Write StorageRequired for creating/restoring a backup of the apps settings.Required for taking a screenshot,112,<third>,<what>
Screen Capture,Screen Capture,100.0,927,sub,Screen CaptureRequired to take a screenshot or to blur the background behind the panel.The phone screen is only captured when taking a screenshot or when background blur is enabled and the panel is opened,204,<third>,<what>
Write Secure Settings,Write Secure Settings,100.0,1134,sub,"Write Secure SettingsUsed to toggle: Mobile Data, NFC, Location, Immersive Mode, Airplane Mode, Invert Colors, Battery SaverThe above Android settings cannot usually be toggled by 3rd party apps. Granting this permission allows the above settings to be toggled.",261,<third>,<what>
Notification access,Notification access,100.0,1398,sub,Notification accessTo show notifications above the quick setting panelTo show notification icons in the status bar,114,<third>,<what>
Do Not Disturb Access,Do Not Disturb Access,100.0,1515,sub,Do Not Disturb AccessTo be able to switch between Do Not Disturb modes when the Do Not Disturb quick setting tile is tapped,123,<third>,<what>
Access/Change WiFi State,Access/Change WiFi State,100.0,1640,sub,Access/Change WiFi StateTo detect when WiFi is disconnected/connected and update the WiFi quick setting tile accordinglyTo turn WiFi on/off when the WiFi quick setting tile is tapped,182,<third>,<what>
Location,Location,100.0,1825,sub,LocationThe location permission is optionalEnabling the location permission allows the app to retrieve the WiFi network SSID and display it underneath the WiFi tile icon in the quick setting panel,196,<third>,<what>
Read/Write sync settings,Read/Write sync settings,100.0,2024,sub,Read/Write sync settingsTo be able to detect if Sync is turned on/off and update the Sync quick setting tile accordinglyTo be able to turn Sync on/off when the Sync quick setting tile is tapped,193,<third>,<what>
Bluetooth,Bluetooth,100.0,2220,sub,BluetoothTo detect when the device is connected/disconnected to another Bluetooth device and update the Bluetooth quick setting tile accordinglyTo turn Bluetooth on/off when the Bluetooth quick setting tile is tapped,216,<third>,<what>
Access Notification Policy,Access Notification Policy,100.0,2439,sub,Access Notification PolicyTo detect the current ringer mode (sound/vibrate/silent),82,<third>,<what>
Foreground Service,Foreground Service,100.0,2523,sub,Foreground ServiceSo the app can stay awake and continue displaying the quick setting panel when the app's main activity is closed,130,<third>,<what>
Start On Boot,Start On Boot,100.0,2655,sub,Start On BootSo the app can start at boot if it was running at the last shutdown,80,<third>,<what>
Alarm,Alarm,100.0,2737,sub,AlarmRequired on older Android versions to be able to open the alarm tab of the default android clock app,105,<third>,<what>
Phone,Phone,100.0,2844,sub,"PhoneRequired to add shortcuts in the quick setting panel for contacts.No data is collected, sent or stored. Only a link to the contact is created when adding a shortcut to the panel.",183,<third>,<what>
Camera,Camera,100.0,3030,sub,CameraOnly required on Android Lollipop to toggle the flashlightIf any permissions are unclear. Please don't hesitate to contact. Send an email to[email protected]Follow us on:,176,<third>,<what>
