decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy – Do It LaterSkip to contentHomeFAQsHelp CenterPrivacy Policy for Auto TextWe fully respects your privacy and will never collect, use or share your private data to any third party via any mechanism.For backup & restore feature, we use Google Drive API with a high security option to store your data onyour Google Drive storage. No one can access the backup file except the app which created it. All your data are absolutely safe.",444,<error>,<error>
App Permissions,App Permissions,100.0,454,main,App Permissions,15,<first>,<what>
READ_SMS,READ_SMS,100.0,470,sub,READ_SMS – Allows the app to read SMS details,45,<first>,<what>
RECEIVE_SMS,RECEIVE_SMS,100.0,516,sub,RECEIVE_SMS – Allows the app to receive SMS.,44,<first>,<what>
SEND_SMS,SEND_SMS,100.0,561,sub,SEND_SMS – Allows the app to send SMS.,38,<first>,<what>
READ_CALL_LOG,READ_CALL_LOG,100.0,600,sub,READ_CALL_LOG – Allows the app to detect and read phone calls.,62,<first>,<what>
READ_CONTACTS,READ_CONTACTS,100.0,663,sub,READ_CONTACTS – Allows the app to pick recipients from your contact list.,73,<first>,<what>
SMS and Call logs permissions,SMS and Call logs permissions,100.0,737,main,"SMS and Call logs permissions: Auto Text does not send any SMS messages, anywhere, unless it is configured by the user. Auto Text uses SMS & Call logs Permissions to send automated SMS messages on the user’s behalf, and it will be only used for this purpose. No user data is ever collected or shared through this permission.",324,<first>,<what>
Accessibility Service,Accessibility Service,100.0,1063,main,"Accessibility Service: Auto Text uses Android Accessibility Services to send automated WhatsApp/Telegram messages on the user’s behalf, and it will be only used for this purpose. No user data is ever collected or shared through this permission.",244,<first>,<what>
Contact permission,Contact permission,100.0,1309,main,Contact permission: Possibility to easily select and add contacts within the app (No data will be collected or shared).,119,<first>,<what>
Notification access,Notification access,100.0,1430,main,Notification access: Reads notifications in order to reply to them (No data will be collected or shared).,105,<first>,<what>
Location permission,Location permission,100.0,1537,main,"Location permission: Auto Text needs to use your location in the background to be able to perform various location related automations. For example, you can set up an auto-reply task include your current location whenever you receive a new text or missed calls. Auto Text fully respects your privacy and will never collect or store your current location or location history in any form. Auto Text will never share your current location or any historical location to any third party via any mechanism.",500,<first>,<what>
Send Email (Gmail),"Send Email
(Gmail)",94.44444444444444,2039,main,"Send Email(Gmail): Auto Text can make use of your Google Gmail account (if granted access) to send emails on your behalf via the email scheduled functional. Auto Text will never use this access to send emails other than those configured by the user (creating an email scheduled). Aside from the usage described, Auto Text will not access, store or share any Google user data or account information.If you have any questions about this Privacy Policy, please ",458,<first>,<what>
Contact Us,contact us,100.0,2500,main,contact us atkant@doitlater.coHomeFAQsHelp Center,49,<third>,<why>
