decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
éšç§åè®®,éšç§åè®®,100.0,0,main,éšç§åè®®,12,<generic>,<other>
This app privacy policy,This app privacy policy,100.0,13,main,"This app privacy policyIt is very important for us to protect your privacy. Please read the following to learn how this app handles information related to this App site and related mobile apps and services. Before you get more information, check out our basic privacy principles: This app is a sports social platform. The information you upload to this app or published on this app is publicly visible and available for search by this App member and non-member.",461,<generic>,<other>
This app privacy policy,This app privacy policy,100.0,13,main,"For commercial purposes, we aggregate, publish or share certain information about our members' use of relevant mobile applications and services.We offer you a variety of ways to control the information you share with others and the public, and work hard to enhance the privacy options available to you.",302,<generic>,<other>
This app privacy policy,This app privacy policy,100.0,13,main,"Our Privacy Policy explains the information we collect, how we use and share it, how to manage your privacy settings, and your rights to related mobile apps and services. Also read the Terms of Service, which set out the relevant mobile apps and terms of service. The App is headquartered in Shenzhen, China. If you are a resident of the European Union (""EU""), this App. is the controller of your personal data under the EU Data Protection Act. ",445,<generic>,<other>
This app privacy policy,This app privacy policy,100.0,13,main,"This policy was written in Chinese. In the scope of conflict between the translated version and the Chinese version, the Chinese version shall prevail. Unless otherwise stated, this Privacy Policy does not apply to third-party products or services or practices of companies that we do not own or control, including other companies that you may interact with on this App or through this App. ",391,<generic>,<other>
"We collect, use, share and otherwise process information","We collect, use, share and otherwise process information",100.0,1624,main,"We collect, use, share and otherwise process information For the purposes described in this Privacy Policy, this App relies on a number of legal grounds to collect, use, share and process information we have about you, including: Provide relevant mobile applications and services and fulfill our obligations in accordance with the Terms of Service. For example, we are unable to provide relevant mobile apps and services unless we collect and use your location information;",473,<generic>,<other>
"We collect, use, share and otherwise process information","We collect, use, share and otherwise process information",100.0,1624,main,"You have agreed to deal with the aspect;       Obey legal obligations, court orders or exercise and defend legal claims when necessary;       Protect your important interests or the interests of others, such as in an emergency;       If you have disclosed information; and if necessary, for the legitimate benefit of this App or a third party, such as the interests of our members who protect our members, the interests of our partners in working with our members, and our efforts to ensure relevant mobile applications and services Business benefits in terms of sustainability.",578,<generic>,<other>
Information collected by this app,Information collected by this app,100.0,2684,main,Information collected by this app,33,<first>,<what>
Information collected by this app,Information collected by this app,100.0,2684,main,"If you or your other member chooses to share information with the App, the App collects information about you, including information that directly or indirectly identifies you. We get information in several different ways, including when you use related mobile apps and services to track, complete, or upload events. The app also collects information about how you use related mobile apps and services. You also have some opportunities to share information about you, your friends and your activities with this app. E.g:",520,<first>,<what>
Information collected by this app,Information collected by this app,100.0,2684,main," We collect basic account information such as your name, email address, date of birth, gender, username and password to help ensure that you have access to our relevant mobile apps and services.Join a challenge, add your device usage, view other peopleâ€™s activity, or otherwise use related mobiles when you choose to upload images, events (including date, time, and location information, and your speed and tempo) or launch Your profile, activity, and usage information are collected when you use apps and services.",517,<first>,<what>
