decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy Your privacy is important to Our App Service. Our Privacy Policy covers how we collect, use, disclose, transfer, and store your information. We hope our policy is straightforward and easy-to-understand. Please take a minute to review the details of our privacy practices below.This Privacy Policy is structured as follows:1. ",340,<generic>,<error>
Definitions,Definitions,100.0,343,main,Definitions2. How We Collect Information & How We Use Information3. Third party accounts & Sharing of personal data4. Legal basis for data processing5. International transfers of personal data6. Children's Privacy7. ,216,<generic>,<error>
You,You,100.0,565,sub,"Your rights8. Changes9. Contact Us1. DefinitionsYou means the individual accessing or using the Service, or the company, or other legal entity on behalf of which such individual is accessing or using the Service, as applicable.",227,<generic>,<error>
Easyelife developer,Easyelife developer,100.0,798,sub,"Easyelife developer is be referred to ""We"", ""Us"" or ""Our"" in this Agreement.Application means the software program provided by Easyelife downloaded by You on any electronic device, named Camera.2",195,<generic>,<error>
How We Collect Information & How We Use Information,". How We Collect Information
We collect information",82.35294117647058,996,main,. ,2,<first>,<how-gathered>
How We Collect Information,How We Collect Information,100.0,998,sub,"How We Collect InformationWe collect information in order to provide you with better, higher-quality, and more personalized services. We collect information by the following means:(I)When you use our email support services, we collect your correspondence in order to build up a public knowledge base, which will be available to all users of the site. Your correspondence will most likely not be used verbatim, but paraphrased in an FAQ format.",443,<first>,<how-gathered>
How We Collect Information,How We Collect Information,100.0,998,sub,"(II)The data we collect depends on the context of your interactions with us, the choices you make, including your privacy settings, and the products and features you use. The data we collect can include SDK/API/JS code version, browser, Internet service provider, IP address, platform, timestamp, application identifier, application version, application distribution channel, independent deice identifier, Android ad master identifier, network card (MAC) address, and international mobile device identification code (IMEI) The equipment model, the terminal manufacturer, the terminal device operating system version, the session start / stop time, the location of the language, the time zone and the network state (WiFi and so on), the hard disk, the CPU, and the battery use, etc.",781,<first>,<how-gathered>
How We Use Information,How We Use Information,100.0,2227,sub,How We Use InformationWe use the information collected through this app product: (I) to communicate with you; (II) to process your requests and transactions; (III) to improve the app; (IV) to customize the services and/or products we provide to you; (V) to assist with our product and service development; (VI) to perform marketing analysis; and (VII) for other purposes related to our business.3. ,398,<first>,<how-used>
Third party accounts,Third party accounts,100.0,2629,sub,Third party accountsOur App Service does not store any other third part service passwords. Your account information is not disclosed to this app and you are free to cancel any of your social networking website connections with this app at any time. ,249,<third>,<what>
Sharing of personal data,Sharing of personal data,100.0,2881,sub,"Sharing of personal dataTo improve our product and provide you better service, we also share personal data with vendors or agents working on our behalf for the purposes described in this privacy policy. For example, companies we've hired to provide data analytical services may need collect and access to personal data to provide those functions. In such cases, these companies must abide by our data privacy and security requirements.4. ",438,<third>,<what>
Legal basis for data processing,Legal basis for data processing,100.0,3322,main,Legal basis for data processing,31,<retention>,<why>
Legal basis for data processing,Legal basis for data processing,100.0,3322,main,"We process Personal Data for the purposes set out in this Privacy Policy, as described above. Our legal basis to process personal data includes processing that is: necessary for the performance of the contract with you (for example, to provide you with the services you request and to identify and authenticate you so you may use the Sites); necessary to comply with legal requirements (for example, to comply with applicable accounting rules and to make mandatory disclosures to law enforcement); necessary for our legitimate interests (for example, to manage our relationship with you, to ensure the security of our services, to communicate with you about our products and services); and based on consent by our customers (for example, to place certain cookies and to share your information with third parties for advertising purposes).  ",840,<retention>,<why>
Legal basis for data processing,Legal basis for data processing,100.0,3322,main,"In some instances, you may be required to provide us with Personal Data for processing as described above, in order for us to be able to provide you all of our services, and for you to use all the features of our App.5. ",220,<retention>,<why>
