decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Kaspersky Privacy Policy | KasperskySkip to main contentKaspersky logoEnglish,77,<error>,<error>
KASPERSKY – PRODUCTS AND SERVICES PRIVACY POLICY,KASPERSKY – PRODUCTS AND SERVICES PRIVACY POLICY,100.0,81,main,KASPERSKY – PRODUCTS AND SERVICES PRIVACY POLICY,48,<generic>,<error>
Introduction,Introduction,100.0,130,main,"IntroductionAO Kaspersky Lab, located at bldg. 3, 39A, Leningradskoe Shosse, Moscow, 125212, Russian    Federation and all companies belonging to the group ""Kaspersky"" respect your privacy. Our    representative in the EU for data protection is: Kaspersky Labs GmbH, Despag-Strasse 3,    85055, Ingolstadt, Germany,info@kaspersky.de, +49    (0) 841 98 18 90, according to Article 27 (1) of Regulation (EU) 2016/679 (General Data",428,<generic>,<error>
Introduction,Introduction,100.0,130,main,"    Protection Regulation, ""GDPR""). Our Data Protection Officer in the EU, according to Article    37 (1) of GDPR, as well as for the other countries, may be contacted viadpo@kaspersky.com.This Products and Services Privacy Policy (Privacy Policy) describes how we use the    information you provide when you use our products and services, and the choices you can make    about our use of the information. We also describe the measures we take to protect the",458,<generic>,<error>
Introduction,Introduction,100.0,130,main,"    information and how you can contact us about our privacy practices.In connection with specific products or services offered by Kaspersky, you are provided with    the agreements, terms of use, and statements that supplement this policy relating to data    handling.This policy may be changed because of changes in legislation, the requirements of the    authorities or to reflect changes in our practices concerning the processing of personal",446,<generic>,<error>
Introduction,Introduction,100.0,130,main,"    data. The revised policy will be posted on our website and will be effective immediately    upon being posted. You can read at any time the policy currently in effect on our website:https://www.kaspersky.com/products-and-services-privacy-policy.This version of the policy is effective as of February 28, 2022.",313,<generic>,<error>
The Sources of Information,The Sources of Information,100.0,1801,main,"The Sources of InformationKaspersky may obtain information about you from various sources, namely:products and services;by your signing up for a Kaspersky products or services;in response to technical support or other communication in order to ensure the required        performance of products and services;on our websites;in response to marketing or other communications;through participation in an offer, program or promotion.",429,<first>,<how-gathered>
The Sources of Information,The Sources of Information,100.0,1801,main,"If you provide us with any information or material relating to another individual, you should    make sure that this sharing with us and our further use as described to you from time to    time are in line with applicable laws; thus, for example, you should duly inform that    individual about the processing of her/his personal data and obtain her/his consent, as may    be necessary under applicable laws.You may also choose to consent to third parties disclosing information about you to us that",499,<first>,<how-gathered>
The Sources of Information,The Sources of Information,100.0,1801,main,    those third parties have received.,38,<first>,<how-gathered>
Information Provided by Users and How We Use Information,Information Provided by Users and How We Use Information,100.0,2783,main,Information Provided by Users and How We Use InformationPersonal data processing by Kaspersky is always carried out in a legal and fair manner.You will always know what kind of information you provide to Kaspersky before you        start to use the products and services. ,272,<first>,<how-gathered>
The data,The data,100.0,3058,main,"The data which you provide depends on the        services, products, and features you use. For more information about data you provide,        please refer to End User License Agreement, Kaspersky Security Network Statement and        other documentation of product and services that you use, especially:FOR HOME USERS (B2C):SECTION ""B"" OF THE EULA, WHICH DESCRIBES THE DATA THAT NEED TO BE PROCESSED IN            ORDER TO PERFORM OBLIGATIONS UNDER THE CONTRACT;",463,<first>,<what>
The data,The data,100.0,3058,main,"KASPERSKY SECURITY NETWORK STATEMENT, WHICH DESCRIBES THE DATA THE PROCESSING OF            WHICH MAY INCREASE THE REACTION SPEED OF PRODUCTS AND SERVICES IN THE EVENT OF            THREATS TO INFORMATION SECURITY;MARKETING STATEMENT, WHICH DESCRIBES THE DATA THE PROCESSING OF WHICH MAY            IMPROVE THE PERFORMANCE OF PRODUCTS AND WILL ENABLE AN ASSESSMENT OF USER            SATISFACTION REGARDING PRODUCT USE;SEPARATE STATEMENTS RELATING TO SPECIFIC PRODUCT FEATURES, WHICH DESCRIBE THE",496,<first>,<what>
