decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,privacyFast Cleaner,19,<error>,<error>
Privacy Policy,Privacy Policy,100.0,21,main,Privacy Policy1.,16,<generic>,<error>
Overview,Overview,100.0,39,main,"OverviewFast Cleaner (this â€œProductâ€) is a clean product developed,  operated and managed by powerd dev team (â€œpowerd dev teamâ€ â€œWeâ€ or â€œusâ€). We fully respect and protect usersâ€™ personal privacy. While providing you with quality services, we will collect, use, disclose, store and protect your personal data in accordance with this Privacy Policy (the â€œPolicyâ€).We will explain how we process your personal data in this Policy and how you may access and control your personal data.",504,<generic>,<other>
Overview,Overview,100.0,39,main,"Please completely read and fully understand this Policy before using this Product. If you have any questions about this Policy, or have any complaints or suggestions, please contact us via the methods as described in this Policy. This policy will help you understand the followings:",282,<generic>,<other>
How We Collect and Use Your Personal Data,How We Collect and Use Your Personal Data,100.0,829,sub,How We Collect and Use Your Personal Data,41,<first>,<why>
How We Use Cookie and Similar Technologies,How We Use Cookie and Similar Technologies,100.0,871,sub,How We Use Cookie and Similar Technologies,42,<tracking>,<why>
"How We Share, Transfer and Disclose Your Personal Data","How We Share, Transfer and Disclose Your Personal Data",100.0,914,sub,"How We Share, Transfer and Disclose Your Personal Data",54,<third>,<why>
Process Your Personal Data Using Third Party Services,Process Your Personal Data Using Third Party Services,100.0,969,sub,Process Your Personal Data Using Third Party ServicesHow We Protect Your Personal DataHow You Access and Control Your Personal DataHow We Process the Minorâ€™s DataHow Your Personal Data Is Transferred GloballyContact UsUpdate of Privacy Policy2.How We Collect and Use Your Personal Data,287,<first>,<how-used>
Process Your Personal Data Using Third Party Services,Process Your Personal Data Using Third Party Services,100.0,969,sub,We may collect your personal data as follows while we are providing services. These data is critical for us to realize various functions of this Product. We will use these data to help us develop and improve our products to provide better services. We will use your personal data in strict compliance with the purposes set forth in this Policy. We will inform you in advance and obtain your consent before we use these data for any other purposes than set forth in this Policy or we use the personal data collected for specific purposes for other purposes.,556,<first>,<how-used>
Process Your Personal Data Using Third Party Services,Process Your Personal Data Using Third Party Services,100.0,969,sub,"2.1.Category and purpose of your personal data we collectThis Product is a full functionality clean product with rich content and services. We will collect different categories of your personal data in different scenarios according to various product features, and will use these data to realize such product features.2.1.1.Pre-activation service",346,<first>,<how-used>
