decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"AkinatorPRIVACY POLICYProtection of its users’ personal data and privacy is of great importance for Elokence SAS (“Elokence”, “we”, “us”, or “our”). To that purpose, Elokence commits to carry out processing of personal data in compliance with applicable data protection laws and regulations in the countries from which its users access and use the Akinator mobile applications (“App”), including in particular the European General Data Protection Regulation (known as « GDPR »).",478,<error>,<error>
,,-1.0,0,,This Privacy Policy clarifies how we collect and process your personal data in the context of your use of the App. Please read it carefully as it is applicable each time you are using the App.You will find relevant information in this respect under the following categories:,274,<error>,<error>
WHAT IS PERSONAL DATA?,WHAT IS PERSONAL DATA?,100.0,757,main,WHAT IS PERSONAL DATA?,22,<generic>,<error>
Personal data means any information relating to an identified or identifiable natural person (the “data subject”).,Personal data means any information relating to an identified or identifiable natural person (the “data subject”).,100.0,780,sub,"Personal data means any information relating to an identified or identifiable natural person (the “data subject”).In the context of your use of our App, you are considered as data subjects. Personal data covered by this Privacy Policy are therefore all and any information relating to you, to the extent that you are identified or identifiable, for instance by reference to the IP address of your device or your account credentials.",432,<generic>,<error>
Personal data means any information relating to an identified or identifiable natural person (the “data subject”).,Personal data means any information relating to an identified or identifiable natural person (the “data subject”).,100.0,780,sub,"Processing of personal data is subject to specific legal and regulatory provisions, in particular the GDPR.",107,<generic>,<error>
WHY DO WE COLLECT YOUR PERSONAL DATA?,WHY DO WE COLLECT YOUR PERSONAL DATA?,100.0,1322,main,"WHY DO WE COLLECT YOUR PERSONAL DATA?We only collect your personal data that are necessary to pursue purposes such as ensuring you have the best experience with the App, easily communicating with you, providing you with personalized advertising and, in some circumstances and based on your consent, sharing your personal data with our partners.",344,<first>,<error>
HOW IS MY PERSONAL DATA CONCERNED?,HOW IS MY PERSONAL DATA CONCERNED?,100.0,1668,main,HOW IS MY PERSONAL DATA CONCERNED?,34,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"We collect your personal data in the following situations and for the purposes detailed hereafter:When using the AppUpon connecting to the App, we will collect the following personal data:The IP address of your device;The model of this device;The advertising ID;The device ID;The system language;The network used;The identified country;The App version ;The business model of the App;The App language selected;The geolocation data ;Technical data relating to your device;",470,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"Personal data you might communicate to us when creating a character on the App (display name, picture, description of the character, language, etc.);And all relevant data related to events within the App.This data will be collected and processed for the purpose of allowing correct display of the App on your device. This processing is based on its necessity for performance of a contract to which you are a party, namely the Terms of service of the App.",454,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"If you have consented to the use of the relevant categories of IDs as described under Article 6 hereunder, we will also be able to collect data relating to your use on the App, such as visited contents, through these IDs in the context of such use.This data will be collected and processed for the purpose of measuring the audience of the contents of the App. This processing is based on our legitimate interest in getting to know the users of our App better in order to improve the App.",487,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"Geolocation data may also be processed for the purpose of serving targeted advertising on the App. This processing is based on your consent. At any time, you can oppose both the activation and the operation of this collection by disabling it in the “location services” settings of the App on your device (settings might be different whether it is an Android or iOs system).Upon registering/using your account on the App",419,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"Upon registering/using your account on the App, we will collect, through the registration form, the following data:Your display name;Your e-mail address;The secured version of your password.This data will be collected and processed for the purpose of managing your user account, providing the App services to you, identifying or reidentifying your device to offer you targeted contents and advertising. This processing is based on its necessity for performance of a contract to which you are a party, namely the Terms of service of the App.",540,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"When using the “Leave a message” formWhen using the “Leave a message” form on the App, we will collect, through that form, the following data:Subject of your message;Your e-mail address;The message you write in the field “Description”;Any screenshot you may attach to your message;Data linked to your account and technical data linked to the context of use to help us to understand the problem you may encounter.",412,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"This data will be collected and processed for the purpose of Elokence receiving and processing your message, and being able to answering it and fix any problem you may encounter described in your message. This processing is based on your consent, as expressed through clicking on the “Send” button of the “Leave a message” form.",328,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"In case your message should contain personal data classified as “sensitive data” under the applicable data protection laws and regulations, for instance data relating to your health condition, you will consent explicitly, through clicking on the sending button of the contact form, to Elokence receiving and processing such data for the purpose of answering to your message. It is understood that Elokence does not require or encourage its users to communicate sensitive data through the “Leave a message” form.",511,<first>,<error>
We collect your personal data in the following situations and for the purposes detailed hereafter:,We collect your personal data in the following situations and for the purposes detailed hereafter:,100.0,1703,sub,"Please note that when you purchase on the App, Elokence does not collect, process or store your payments data. Payments made from our App are managed by a secured service provided by a third party.",197,<first>,<error>
WHO IS THE DATA CONTROLLER AND CAN I GET IN TOUCH?,"WHO IS THE
DATA CONTROLLER
AND CAN I GET IN TOUCH?",96.0,5558,main,"WHO IS THEDATA CONTROLLERAND CAN I GET IN TOUCH?The data controller for the aforementioned processing activities is Elokence which provides the App.Should you have any question or concern regarding this Privacy Policy, processing of personal data by Elokence on the App or more generally Elokence’s commitments in terms of data protection and privacy, you may contact the Privacy Policy Administrator by sending an email viaprivacypolicy@elokence.com",450,<first>,<error>
WHO IS THE DATA CONTROLLER AND CAN I GET IN TOUCH?,"WHO IS THE
DATA CONTROLLER
AND CAN I GET IN TOUCH?",96.0,5558,main,"or by writing to Elokence SAS, Attention: Privacy Policy Administrator, 10 Avenue Gustave Eiffel, Chartres, France.",115,<first>,<error>
WITH WHO IS MY PERSONAL DATA SHARED?,WITH WHO IS MY PERSONAL DATA SHARED?,100.0,6130,main,"WITH WHO IS MY PERSONAL DATA SHARED?Personal data collected and processed as described under Article 3 here above will be shared with the persons and services within Elokence on a need-to-know basis only, namely in particular our staff dedicated to technical issues and user experience studies.In some specific cases only, your personal data may be shared to answer to competent authorities’ requests and in legal proceedings if necessary.",439,<third>,<error>
WITH WHO IS MY PERSONAL DATA SHARED?,WITH WHO IS MY PERSONAL DATA SHARED?,100.0,6130,main,"Your personal data may also be indirectly collected by our partners (google analytics, firebase, typeform and advertising partners) to the extent necessary for fulfilling the purposes described under Article 3 here above.Your personal data may also be shared with our partners in order to provide you with targeted contents and advertising. These partners may combine these data with other personal data you may have provided to them or they may have collected while you used their own services.",495,<third>,<error>
WITH WHO IS MY PERSONAL DATA SHARED?,WITH WHO IS MY PERSONAL DATA SHARED?,100.0,6130,main,"We do not transfer your personal data outside the European Union: all our servers are located within the European Union and your personal data will be stored within these servers. In cases where your personal data would be indirectly collected by our partners and then transferred by them outside the European Union, we invite you to revert to their own privacy policy to know how they secure the transfers of your personal data outside the European Union.",456,<third>,<error>
HOW LONG IS MY PERSONAL DATA RETAINED?,HOW LONG IS MY PERSONAL DATA RETAINED?,100.0,7526,main,"HOW LONG IS MY PERSONAL DATA RETAINED?Personal data collected and processed as described under Article 3 here above will be retained by Elokence for no longer than necessary to fulfil the purposes described under that Article 3. In particular, we will retain your personal data the time required to provide you access to the App and, if applicable, to answer to Elokence’s legal obligations.",391,<retention>,<error>
HOW ARE IDS AND SIMILAR TECHNOLOGIES USED?,HOW ARE IDS AND SIMILAR TECHNOLOGIES USED?,100.0,7919,main,HOW ARE IDS AND SIMILAR TECHNOLOGIES USED?What is an ID?IDs are pieces of information (mainly advertising IDs) that an application transfers to an individual's storage for record-keeping purposes. IDs make app-use easier by saving use patterns while you are using the App.How are IDs used?IDs may be used to:Analyse your use of the App;Improve contents;Customize the App's content and layout;Improve and personalize your experience on our App;Serve targeted advertising on the App.,481,<tracking>,<error>
HOW ARE IDS AND SIMILAR TECHNOLOGIES USED?,HOW ARE IDS AND SIMILAR TECHNOLOGIES USED?,100.0,7919,main,"These IDs may be emitted by Elokence and its partners. The App may also use IDs and/or similar technologies for the sole (purely technical) purpose of allowing you to connect and access the App.You may object to the storage and access of the IDs on your device by using the appropriate settings of your device. Please note however that IDs are an important part of how our App work; therefore, we draw your attention to the fact that if you choose to refuse some IDs, this may, in some cases, preclude you from using, or negatively impact the display or function of, the App or certain areas or features of the App.",615,<tracking>,<error>
WHAT ARE MY RIGHTS?,WHAT ARE MY RIGHTS?,100.0,9027,main,"WHAT ARE MY RIGHTS?Pursuant to the applicable data protection laws and regulations, you dispose of the following rights regarding processing of your personal data: right of access, right of data portability, right of correction, right to erasure, right to object to processing and right to limitation to processing.You may exercise these rights by contacting the Privacy Policy Administrator atprivacypolicy@elokence.com",420,<choice>,<error>
WHAT ARE MY RIGHTS?,WHAT ARE MY RIGHTS?,100.0,9027,main,"or by writing to Elokence SAS, Attention: Privacy Policy Administrator, 10 Avenue Gustave Eiffel, Chartres, France.These rights being purely personal, they may only be exercised by the data subject themselves. Therefore, you may be asked to provide a copy of a valid ID document to your request; we will only retain that copy for the time necessary to verify your identify.",373,<choice>,<error>
WHAT ARE MY RIGHTS?,WHAT ARE MY RIGHTS?,100.0,9027,main,"If that personal data has been shared with third parties, Elokence will inform these third parties of your request for erasure, to the extent that it is feasible. Elokence will in such case cease to process the concerned personal data and retain it for the appropriate duration.For those of the processing activities described under Article 2 here above based on your consent, you have a right to withdraw that consent at any time, without justification.",454,<choice>,<error>
WHAT ARE MY RIGHTS?,WHAT ARE MY RIGHTS?,100.0,9027,main,"Last, you have a right to lodge a complaint relating to the processing of your personal data by Elokence with the competent supervisory authority in your country.",162,<choice>,<error>
HOW IS MY PERSONAL DATA SECURED?,HOW IS MY PERSONAL DATA SECURED?,100.0,10445,main,"HOW IS MY PERSONAL DATA SECURED?We take reasonable measures to protect Personal Data from misuse, loss and unauthorized access and in particular we have physical, electronic, and procedural safeguards in place to protect Personal Data. In addition, Personal Data is stored on our servers and protected by secured networks to which access is strictly limited to a few authorized employees and personnel. You have however to be aware that, due to its own characteristics, the use of the Internet is not 100% secured.",514,<security>,<error>
THIRD-PARTY WEBSITES OR APPLICATIONS,THIRD-PARTY WEBSITES OR APPLICATIONS,100.0,10961,main,THIRD-PARTY WEBSITES OR APPLICATIONS,36,<third>,<error>
THIRD-PARTY WEBSITES OR APPLICATIONS,THIRD-PARTY WEBSITES OR APPLICATIONS,100.0,10961,main,"You may download the App from another website. In addition, our services provided through the App may contain links that will let you leave our App and access another website or application. Such websites or applications are not under the control of Elokence and it is possible that these websites or applications have a different privacy policy than ours. Our Privacy Policy applies solely to Personal Data collected by your use of our App and we are not responsible for these other websites. We urge you to be careful when using your Personal Data online.",557,<third>,<error>
MODIFICATION OF THIS PRIVACY POLICY,MODIFICATION OF THIS PRIVACY POLICY,100.0,11556,main,"MODIFICATION OF THIS PRIVACY POLICYThis Privacy Policy was last updated on September 9, 2019. Please note that we may revise it from time to time and that we reserve the right to update or modify it.We will display the revised Privacy Policy on the App, so that users can always be aware of what personal data we collect and how we collect it. In addition, if you registered under the registration form, you will also receive an email informing you of modifications or updates of the Privacy Policy on the email address associated to your user account.",552,<change>,<error>
MODIFICATION OF THIS PRIVACY POLICY,MODIFICATION OF THIS PRIVACY POLICY,100.0,11556,main,"(2)                                                 © 2017Elokence- All rights reserved×Akinator.com works mainly through advertising. If you enjoy our content, please deactivate your adblocker on Akinator.com.For all questions relating to advertising please leave us a message hereContact us",292,<change>,<error>
