decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
SAI Privacy Policy,SAI Privacy Policy,100.0,0,main,SAI Privacy PolicyРусский| EnglishSAI (Split APKs Installer) Privacy Policy,75,<generic>,<error>
Overview,Overview,100.0,79,main,"OverviewSAI (Split APKs Installer) (""app"") uses Firebase and Google Play Services (""Google"") to collect app         errors logs and gather some analytics data.By using app, you agree with this privacy policy as            well as withGoogle'sandFirebase'sprivacy policies.            Please note, that SAI developer is not responsible for the actions of apps you install with SAI",379,<generic>,<error>
What personal data is collected by developer?,What personal data is collected by developer?,100.0,468,main,What personal data is collected by developer?Developer gets some of the data collected by Google and Firebase:• ,112,<first>,<error>
Device Information,Device Information,100.0,582,sub,"Device Information - brand, model, OS version, device orientation, RAM usage stats, root status, unique            identifiers, errors logs            • ",153,<first>,<error>
"User gender, age and country","User gender, age and country",100.0,737,sub,"User gender, age and country            • ",42,<first>,<error>
App usage events such as viewing settings screen,App usage events such as viewing settings screen,100.0,780,sub,App usage events such as viewing settings screen,48,<first>,<error>
What personal data is collected by Google?,What personal data is collected by Google?,100.0,829,main,What personal data is collected by Google?Refer to Google'sprivacy policy,73,<third>,<error>
What personal data is collected by Firebase?,What personal data is collected by Firebase?,100.0,905,main,What personal data is collected by Firebase?Refer to Firebase'sprivacy policy,77,<third>,<error>
How is personal data being used?,How is personal data being used?,100.0,985,main,"How is personal data being used?Developer uses data exclusively to analyze app errors and keep track of app usage stats, however Firebase and         Google can use the data for any purpose stated in their         privacy policies",230,<first>,<error>
Who is personal data shared with?,Who is personal data shared with?,100.0,1219,main,"Who is personal data shared with?Developer doesn't share the data, however Google and Firebase can share the data with their partners as stated         in their privacy policies",177,<third>,<error>
How is personal data protected?,How is personal data protected?,100.0,1399,main,"How is personal data protected?Developer doesn't store the data, Firebase and Google do. The data is protected as stated in their privacy         policies",154,<security>,<error>
