decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Artline (""developer"") built the app as an Ad Supported app. This SERVICE(""app"") is provided by at no cost and is intended for use as isThis ",140,<error>,<error>
Privacy Policy,privacy policy,100.0,142,main,"privacy policy is used to inform you regarding policies with the collection, use, anddisclosure of Personal Information if anyone decided to use this Service.",158,<error>,<error>
Privacy Policy,privacy policy,100.0,142,main,"BY INSTALLING THE APPS ON YOUR MOBILE DEVICE, ENTERING INTO, CONNECTING TO, ACCESSING AND/OR USING THE APPS, YOU AGREE TO THE TERMS AND CONDITIONS SET FORTH IN THIS PRIVACY POLICY, INCLUDING TO THE POSSIBLE COLLECTION AND PROCESSING OF YOUR INFORMATION AND YOU ARE CONSENTING TO THE USE OF COOKIES AND OTHER TRACKING TECHNOLOGIES ON YOUR DEVICE. PLEASE NOTE: IF YOU OR, AS APPLICABLE, YOUR LEGAL GUARDIAN, DISAGREE TO ANY TERM PROVIDED HEREIN, YOU MAY NOT INSTALL, ACCESS AND/OR USE THE APPS AND YOU ARE REQUESTED TO PROMPTLY ERASE THEM, AND ANY PART THEREOF, FROM YOUR MOBILE DEVICE.",584,<error>,<error>
1. Overview,1. Overview,100.0,887,main,1. OverviewThe app uses advertising (and in app payments) to make revenue. The app uses third partylibraries for advertising which may collect and share personal information with third parties.Links to privacy policies of third party service providers used in the appAdMobhttps://support.google.com/admob/answer/6128543Facebookhttps://www.facebook.com/about/privacy/update,372,<error>,<error>
2. Sharing Your Information,2.) Sharing Your Informatio,96.2962962962963,1267,main,2.) Sharing Your InformationThe developer will share pe,55,<error>,<error>
Information shared with third parties,rsonal information with third parties,81.08108108108108,1323,sub,"rsonal information with third parties only in the ways that aredescribed in this privacy statement.Your personal information may be disclosed:* As required by law, such as to comply with a subpoena, or similar legal process.* To any other third party with your prior consent to do so.",284,<third>,<error>
3. What information are collected and why,3. What information are collected and why,100.0,1612,main,3. What information are collected and why,41,<error>,<error>
3.1 Admob,3.1 Admob,100.0,1654,main,"3.1 AdmobAdMob, is Google's mobile app advertising platform designed specifically for app developers.Technical Data:* Online identifiers, including cookie identifiers* IP addresses* Device identifiers* Client identifiers* Unique device identifiers for advertising (Google Advertiser ID or IDFA, for example)* Usage Data.Retention:Google anonymizes the log data by removing part of the IP address (after 9 months) andcookie information (after 18 months)Online resources:* Privacy Policy",485,<error>,<error>
3.1 Admob,3.1 Admob,100.0,1654,main,https://www.google.com/policies/technologies/ads/* Opt outhttps://www.google.com/settings/ads* Service Informationhttps://privacy.google.com/businesses/adsservices/* Partner policyhttps://policies.google.com/technologies/partner-sites* Ad technology providershttps://support.google.com/admob/answer/9012903,306,<error>,<error>
3.2 Audience Network,3.2 Audience Network,100.0,2468,main,"3.2 Audience NetworkAudience Network, is Facebook’s mobile app advertising platform designed specifically for app developers.Learn more about Privacy Policy for Audience network herehttps://www.facebook.com/about/privacy/update",227,<error>,<error>
4. Security,4. Security,100.0,2699,main,"4. SecurityI am striving to use commercially acceptable means of protecting your PersonalInformation. But remember that no method of transmission over the internet, or method ofelectronic storage is 100% secure and reliable, and I cannot guarantee its absolutesecurity.",269,<error>,<error>
5. Links to Other Sites,5. Links to Other Sites,100.0,2973,main,"5. Links to Other SitesThis Service may contain links to other sites. If you click on a third-party link, youwill be directed to that site. Note that these external sites are not operated by me.Therefore, I strongly advise you to review the Privacy Policy of these websites. I haveno control over and assume no responsibility for the content, privacy policies, orpractices of any third-party sites or services.",410,<error>,<error>
6. Privacy for childrens,6. Privacy for childrens,100.0,3389,main,"6. Privacy for childrensThese Services do not address anyone under the age of 16. I do not knowingly collectpersonally identifiable information from children under 16. In the case I discover thata child under 16 has provided me with personal information, I immediately delete thoseinformations. If you are a parent or guardian and you are aware that your child hasprovided personal information, please contact me so that I will be able to do necessaryactions.",459,<error>,<error>
7. Distribution,7. Distribution,100.0,3855,main,7. DistributionThe ,19,<error>,<error>
Official channels for app distribution,only official channel for distribution,86.8421052631579,3875,sub,"only official channel for distribution of this app are:* Google Play Storehttps://play.google.com/Any other mode of distribution is not official and thus, is not maintained by the developer.This privacy policy is effective to distribution made on official channel only.",269,<region>,<error>
8. Changes to This Privacy Policy,8. Changes to This Privacy Policy,100.0,4149,main,8. Changes to This Privacy PolicyThis policy may be updated from time to time.,78,<error>,<error>
9. Contact me,9. Contact me,100.0,4229,main,"9. Contact meIf you have any questions or suggestions about my Privacy Policy, do not hesitate tocontact me.Email:artline.dev@gmail.com. Please, mark the letter’s title as [PRIVACY]",181,<error>,<error>
