decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,[Official]MobileTrans App- ,27,<error>,<error>
Privacy Policy,Privacy Policy,100.0,27,main,"Privacy PolicyMobileTrans respects your privacy and takes a careful attitude towards user information security. When you        install MobileTrans, upon your agreement, MobileTrans shall, out of providing data transfer services, improving        service quality and data collection accuracy, collect and process some data related to your mobile device and        data types.Before using the Application, please read carefully the following privacy policy which provides you, as the",482,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,27,main,"        user of the Website and/or Application (the â€œUserâ€ or â€œYouâ€), with the relevant information regarding the        various processing of personal data implemented by MobileTrans, and frequently learn about the privacy policy        updates. If you disagree with the following privacy policy, please stop using the Application and uninstall        it.MobileTrans fully comprehends the importance of your personal information, and will be devoted to protecting the",476,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,27,main,"        security and reliability of your personal information. MobileTrans shall be committed to maintaining your trust,        and abide by the following principles to protect your personal information:1) Compliance of rights and obligations;2) Explicitness of goals;3) Agreement upon choosing;4) Minimum utilization;5) Security assurance;6) User participation;7) Publicity and transparency.Meanwhile, MobileTrans shall take sufficient security measures to protect your personal information by adhering",503,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,27,main,        to the mature security standards in the industry.1. ,60,<generic>,<error>
Information Collection,INFORMATION COLLECTION,100.0,1570,main,INFORMATION COLLECTIONThe following ,36,<generic>,<how-gathered>
Information Collected During Data Backup,information shall be collected during da,77.5,1607,sub,"information shall be collected during data backup:1) Device model type;2) Device manufacturer;3) Types of transferred data;4) Data transfer status (success or failure);5) Log data (for example, service use time and duration).The following information shall not be collected:1) Detailed data transferred from your old phone to new phone;2. ",339,<first>,<what>
INFORMATION COLLECTION PURPOSES,INFORMATION COLLECTION PURPOSES,100.0,1954,main,"INFORMATION COLLECTION PURPOSES1) To provide you with services or functions, such as to transfer data;2) To optimize MobileTrans products and services and improve user experience based on your tool use and the log        data;3) To deliver ads (customization ads and sponsorship contents) and promotion information;4) To evaluate and analyze the market, customer, product, and service (including the query of your opinions on        MobileTrans products and services, and customer polls).",488,<first>,<what>
INFORMATION COLLECTION PURPOSES,INFORMATION COLLECTION PURPOSES,100.0,1954,main,"3. UTILIZATION OF TOKEN AND RELATED TECHNOLOGIESTo ensure that the Application run properly, MobileTrans shall save a â€œtokenâ€ file on your device. The token is        an identity verification mechanism. The user submits account data to the server initially. The server generates        a character string (token) based on specific policies. The token character string contains some user information",402,<first>,<what>
INFORMATION COLLECTION PURPOSES,INFORMATION COLLECTION PURPOSES,100.0,1954,main,"        and will expire after some time. The server transfers the token character string to the client end, which will        save it and add it in the subsequent requests.4. SHARING OR DISCLOSING OF YOUR INFORMATION?Without your consent, MobileTrans shall never disclose your information to a third party for its own marketing        or commercial purposes. MobileTrans, however, may disclose your information to the following entities:1) Associated enterprises",462,<first>,<what>
INFORMATION COLLECTION PURPOSES,INFORMATION COLLECTION PURPOSES,100.0,1954,main,"Your information may be shared with an associated enterprise;2) Business partnersYour information may be shared with a business partner of MobileTrans;3) Service providersYour information may be shared with an enterprise that provides services to MobileTrans or acts on behalf of        MobileTrans;4) Other entities upon your consent on information sharingApart from the disclosing situations described in the privacy policy, your information may be shared with a",464,<first>,<what>
