decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicyPrivacy Policy1. ,31,<error>,<error>
What is this policy?,What is this policy?,100.0,33,main,What is this policy?,20,<generic>,<error>
What is this policy?,What is this policy?,100.0,33,main,"This policy is intended to help you understand what data we collect, how we use it, and your rights related to it. For purposes of this policy and unless otherwise specified, “data” includes data that is linked to one person or household including things like name, email address, phone numbers, device ID, Third-Party identifiers, contact information, communications with therapists using our digital communication platform (the “Platform”) to provide services (“therapists”), and IP address. Some jurisdictions might consider this to be “personal data,” “personally identifiable information,” or “sensitive personal data” in certain circumstances. When you use and access our app or website, you accept and agree to both the",726,<generic>,<error>
What is this policy?,What is this policy?,100.0,33,main,"Terms and Conditionsand this Privacy Policy, including that we’ll share certain data with service providers.The purpose of this Policy is to explain the technical aspects of data Processing in a simple and clear way. Please feel free to emailDPO@betterhelp.comif you have any questions about this Policy, or any suggestions for us to improve it.2. ",348,<generic>,<error>
Who does this apply to?,Who does this apply to?,100.0,1135,main,"Who does this apply to?This policy applies to any visitors to the public portions of our websites and apps, users of the paid portions of our Platform, and independent contractor therapists who are using the Platform to deliver therapy.This policy does not apply to the collection and use of information for employees or independent contractors (not including therapists) ofBetterHelpor its parent company. If you’re a current or formerBetterHelp",446,<generic>,<error>
Who does this apply to?,Who does this apply to?,100.0,1135,main,"job applicant, employee, owner, director, officer, or independent contractor other than therapist, please contact us atDPO@betterhelp.comfor the appropriate notice governing those portions of the Platform.3. ",208,<generic>,<error>
"When you use the term “Service Provider” in this Policy, what do you mean?","When you use the term “Service Provider” in this Policy, what do you mean?",100.0,1799,main,"When you use the term “Service Provider” in this Policy, what do you mean?We define a Service Provider as a person or company that we have a legal agreement with toProcessdata collected by us or on our behalf. Data that is Processed on our behalf is required to be done only at our direction; no other person or company can authorize it. Our Service Providers are not permitted to disclose data that is individually identifiable to any other person or company, other than to us or the Service Providers’ own subcontractors (provided that they’re bound to data Processing terms that are no less restrictive than the terms the Service Provider is bound by).",655,<generic>,<error>
"When you use the term “Service Provider” in this Policy, what do you mean?","When you use the term “Service Provider” in this Policy, what do you mean?",100.0,1799,main,"The data obtained by Service Providers from their relationship with us must only be used for performing the services specified in our agreement with them, or as reasonably necessary to perform one or more of the following:Comply with applicable law, regulation, or legal processdetect, prevent or mitigate fraud or security vulnerabilitiesdebug to identify and repair errors impairing existing intended functionalities",418,<generic>,<error>
"When you use the term “Service Provider” in this Policy, what do you mean?","When you use the term “Service Provider” in this Policy, what do you mean?",100.0,1799,main,"conduct internal research for technological development and demonstration of our products or services, if such use is reasonably necessary and proportionate to achieve the purpose for which the data was shared4. ",212,<generic>,<error>
When you use the term “Third Party” what do you mean?,When you use the term “Third Party” what do you mean?,100.0,3093,main,"When you use the term “Third Party” what do you mean?For the purposes of this policy, a Third Party means an entity that is not aService Provider, not a therapist or any other parties that are specifically called out in this Policy.5. ",235,<generic>,<error>
