decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privay Policy,13,<error>,<error>
PRIVACY POLICY,PRIVACY POLICY,100.0,14,main,"PRIVACY POLICYTop Photo Editor - Top Photo Collage(Last updated:  December 12, 2020)",84,<generic>,<error>
OVERVIEW,OVERVIEW,100.0,101,main,"OVERVIEWWe've done our best to cut through the legal jargon and explain in simple terms what information we collect, what we use it for, and the few situations in which we may share it with others. Please read this privacy policy carefully. It applies to all interactions you make with our games.",296,<generic>,<error>
THE INFORMATION WE COLLECT,THE INFORMATION WE COLLECT,100.0,399,main,"THE INFORMATION WE COLLECTWe receive some information automatically when you use our Apps. This includes data about your device, software, operating system, the language you've set for your DeviceWe do not collect personally identifiable information about you or your children through our apps. In other words, we do not collect information such as your name, address, phone number or email address.",399,<first>,<what>
THE INFORMATION WE COLLECT,THE INFORMATION WE COLLECT,100.0,399,main,Occasionally we collect the personal information that you voluntarily provide to us (e.g. email addresses you give us when you submit a request to a support via our web or email).,179,<first>,<what>
Does Top Photo Editor - Top Photo Collage Collect My Financial Information When I Make In-App Purchases?,Does Top Photo Editor - Top Photo Collage Collect My Financial Information When I Make In-App Purchases?,100.0,981,main,"Does Top Photo Editor - Top Photo Collage Collect My Financial Information When I Make In-App Purchases?When you make in-app purchases in the our Games, we do not collect or have any access to your name and billing information. This information is collected and stored by your platform (Android's Google Play) or your platform's payment processor.",347,<first>,<what>
Social media features and tools.,Social media features and tools.,100.0,1330,main,"Social media features and tools.Our Games may include integrated social media features and tools, such as button ""Share"". Social media features and tools are hosted by a third-party, and your interactions with these integrated social media features and tools are governed by the privacy policy of the company providing it.",322,<third>,<what>
CHILDREN'S PRIVACY,CHILDREN'S PRIVACY,100.0,1654,main,CHILDREN'S PRIVACY,18,<audience>,<other>
Our products respect the privacy of children.,Our products respect the privacy of children.,100.0,1673,sub,Our products respect the privacy of children. ,46,<retention>,<why>
We don't collect personal Information from children with our mobile applications.,We don't collect personal Information from children with our mobile applications.,100.0,1719,sub,We don't collect personal Information from children with our mobile applications.,81,<retention>,<what>
Our apps for children's do not show Interest-based Advertising.,Our apps for children's do not show Interest-based Advertising.,100.0,1801,sub,Our apps for children's do not show Interest-based Advertising.,63,<retention>,<why>
We comply with the Children's Online Privacy Protection Act (COPPA).,We comply with the Children's Online Privacy Protection Act (COPPA).,100.0,1865,sub,"We comply with the Children's Online Privacy Protection Act (COPPA).Our website and mobile applications comply with the Children's Online Privacy Protection Act (""COPPA"").In the event that a user identifies himself/herself as a child under the age of 13 through a support request or feedback, we will not collect, store or use and will delete in a secure manner any personal information of such a user.",402,<region>,<what>
We comply with the Children's Online Privacy Protection Act (COPPA).,We comply with the Children's Online Privacy Protection Act (COPPA).,100.0,1865,sub,"We take care of filtering categories of sensitive and unsuitable ads for children. But rarely can an advertiser misclassify your ads, and this situation is beyond our reach.",173,<region>,<what>
