decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy policy,100.0,0,main,"Privacy policy - Google Play | AppBlockabouthelpwall of lovefor studentscontactblogPrivacy PolicyWe protect your dataGoogle playApp StoreHuawei App GalleryPrivacy policyThis privacy policy (""Privacy Policy"") describes the manner of collecting, retaining and other processing of personal data by MobileSoft s.r.o., a company with its registered office at Českoskalická 650, 549 41 Červený Kostelec, identification no.: 025 73 857, registered in the Commercial Register administered by the Regional Court in Hradec Králové, section C, file 33165 (""",546,<generic>,<other>
Privacy Policy,Privacy policy,100.0,0,main,"Operator""), in connection with the use of AppBlock application and service (""Application"") and the website www.appblock.app (""Web Interface""), the purpose of which is the temporary blocking of other applications - by the Users (""Service"").This Privacy Policy supplements and is incorporated by reference in theConditions of Use of AppBlock Service(""Conditions""). The definitions/capitalized terms specified in the Conditions have the same meaning herein.",454,<generic>,<other>
Privacy Policy,Privacy policy,100.0,0,main,"The protection of privacy and personal data processing is a priority for the Operator and the processing of personal data is regarded as strictly confidential. Personal data are treated in compliance with the valid and effective laws and regulations in the field of personal data protection, including the General Data Protection Regulation EU 2016/679 (""Regulation"").",368,<generic>,<other>
Privacy Policy,Privacy policy,100.0,0,main,"The Operator may change this Privacy Policy at any time with immediate effect. We will inform you of such changes. Should this Privacy Policy be changed in a manner that requires your consent, we will request your consent again.The latest version hereof is available in the footer of the Web Interface and through a link in the relevant section of the Application.If you choose to use our Service, then you agree to the collection and use of information in relation to this policy.",481,<generic>,<other>
1. General information,1. General information,100.0,1884,main,"1. General information﻿Under the Regulation, the Operator is the controller of your personal data, i.e. the Operator collects, stores and uses (and otherwise processes) your personal data in connection with its business activities (the individual purposes for which the personal data are processed are specified below).",319,<generic>,<other>
1. General information,1. General information,100.0,1884,main,"Without your consent, we may only process such personal data that are necessary for the performance of the contract (i.e. the provision of the Service) and other contracts we may make with you or for the purpose of meeting our legal obligations, and/or for the purpose of legitimate interests. In other situations, we process your personal data only if you give us your consent to the processing of your personal data.",418,<generic>,<other>
1. General information,1. General information,100.0,1884,main,"Personal data are processed by us both manually and by automated means. Personal data are processed by automated means for the purpose of performance of a contract (the provision of the Service), in particular, to secure internal procedures of the Operator and its contractual partners that are necessary for the provision of the Service.",338,<generic>,<other>
1. General information,1. General information,100.0,1884,main,"This Privacy Policy describes the purposes of personal data processing and the manners of processing, it provides information regarding individual categories of personal data to be processed, individual recipients of personal data, the storage period of personal data and your rights regarding the protection of personal data.",326,<generic>,<other>
2. Information Collection and Use,2. Information Collection and Use,100.0,3290,main,2. Information Collection and Use,33,<first>,<how-gathered>
2. Information Collection and Use,2. Information Collection and Use,100.0,3290,main,"MobileSoft s.r.o. does not collect or store any Personal Information except data needed for login to Academy and the backup system to store progress, save Profile and QuickBlock blocking setups or synchronize app settings, nor does it share any such information with third parties. This data is voluntary and other services may be used without creating an account. All statistics and related configurations available through the Service are stored locally on the user’s device for their use only and are not accessible by MobileSoft s.r.o. and its affiliates. However, we use third-party services for analyses, advertisement and bug reporting. These services are managed by their own Privacy Policy:",699,<first>,<how-gathered>
2. Information Collection and Use,2. Information Collection and Use,100.0,3290,main,Google Play Services﻿AdMob﻿Firebase Analytics﻿Firebase Crashlytics﻿Facebook﻿,76,<first>,<how-gathered>
3. Purposes of personal data processing,3. Purposes of personal data processing,100.0,4110,main,"3. Purposes of personal data processingYour personal data may be processed by the Operator for the following purposes:Performance of a contractwith the User(fulfilment of mutual contractual relationship based on which the Service is provided to the User);Fulfilment of legal obligations;Protection of the controller's legitimate interest(protection of the rights and legally protected interests of the Operator, e.g. creating statistics concerning the behaviour of the Users of the Service);",491,<first>,<why>
3. Purposes of personal data processing,3. Purposes of personal data processing,100.0,4110,main,Distributing commercial communications and offering of services and goods(the Operator may send you commercial communications regarding the Service via e-mail or push notifications);Dealing with requests of the Users(e.g. using the possibility to contact the Operator through the Application).,293,<first>,<why>
4. Types of personal data processed,4. Types of personal data processed,100.0,4907,main,4. Types of personal data processed,35,<first>,<what>
4.1 Categories of personal data,4.1 Categories of personal data,100.0,4943,sub,"4.1 Categories of personal data﻿In connection with your activity and depending on the content thereof, the following personal data may be processed in the course of the provision of the Service:Data subjects dataPurposes of processing:E-mailPerformance of a contract with the User; fulfilment of legal obligations; protection of the controller's legitimate interest; distributing commercial communications and offering of services and goods; dealing with requests of the UsersPassword",484,<first>,<what>
4.1 Categories of personal data,4.1 Categories of personal data,100.0,4943,sub,Performance of a contract with the User; protection of a legitimate interest of the controllerQuickBlock and Profile configurationPerformance of a contract with the User;,170,<first>,<what>
5. Means of personal data processing,5. Means of personal data processing,100.0,5607,main,"5. Means of personal data processingThrough registration, we collect personal data via the form in the Application. The Operator thus gets access to your e-mail and password. It is not possible to complete the registration (or create a Profile) without processing these personal data. In addition to this, you may at any time also fill in voluntary information. We also process personal data in the form, along with anyother content uploaded or provided by you.",461,<first>,<how-used>
5. Means of personal data processing,5. Means of personal data processing,100.0,5607,main,"The QuickBlock and Profiles setup will only be saved for users who use the Backup feature. This data is used for providing backups and, in the case of a backup or restoration failure, debugging and will not be provided to third parties.Notwithstanding whether you register or not, we process your operational and localization data when you use the Service.",356,<first>,<how-used>
5. Means of personal data processing,5. Means of personal data processing,100.0,5607,main,"By giving us the data, you are aware of the fact that they will be processed, or, if it is stated, you give your consent to the processing. You can withdraw your consent to the processing of personal data at any time. If so, we will no longer process your personal data unless there is a legal ground for their processing.",322,<first>,<how-used>
5. Means of personal data processing,5. Means of personal data processing,100.0,5607,main,"If you decide to contact us via the tools located or referred to in the Application or the Web Interface or in any other way made available by the Operator, the information you have previously stated in the Service may be used.When you use the Service, the Operator's servers or the servers of the processors automatically recognize the IP address of your device (it is a number by which each device connected to the Internet is identified) or other identifiers.",462,<first>,<how-used>
5. Means of personal data processing,5. Means of personal data processing,100.0,5607,main,We also process statistical anonymized information in order to find out in what manner the Users or the visitors use the application.You may refuse the processing of your personal data for the purpose of sending business communications at any time and will not affect our other relationships. All you have to do is refuse to send other messages by clicking on the link located in the footer of the sent business message or you can send us an e-mail with the appropriate request at support@appblock.app.,502,<first>,<how-used>
