decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicyPrivacy Policy,28,<generic>,<error>
Effective Date,Effective date,100.0,30,main,"Effective date July 23th, 2018This Privacy Policy explains how personal information is collected and shared when you are using mobile games and applications (together ""apps"") that were developed and published by Bjoern Bartels (""we"").Our apps are made available via the Apple App Store and Google Play Store. By downloading and using our apps you agree to this Privacy Policy and consent to the processing of your personal information as explained in this document.",465,<generic>,<other>
Effective Date,Effective date,100.0,30,main,We may update this Privacy Policy from time to time. If there are any changes we will revise the date at the top of this document. In some cases we may also provide you with an additional notification.,201,<generic>,<other>
General,General,100.0,700,main,"GeneralWe avoid collection of personal information as much as possible. However, for advertising and analytics purposes your device needs to be recognized. Therefore some device-related identifiers (e.g. IP address or Advertising-ID) need to be collected, which are considered personal information.We do NOT allow our advertising partners to use your information for personalized advertising.",392,<generic>,<other>
General,General,100.0,700,main,You will find a detailed explanation of what information we collect and how this information is handled in the following paragraphs.,132,<generic>,<other>
Collection of information,Collection of information,100.0,1228,sub,Collection of information,25,<first>,<error>
Information you provide voluntarily,Information you provide voluntarily,100.0,1254,main,"Information you provide voluntarilyIf you contact us via email (e.g. for support inquiries) you provide personal information like your name, email address and information regarding your inquiry to us.",200,<first>,<what>
Information we collect automatically,Information we collect automatically,100.0,1456,main,"Information we collect automaticallyWhen you are using our apps, we may collect the following kind of information automatically.",128,<first>,<what>
IP address and device identifiers,IP address and device identifiers,100.0,1586,sub,"IP address and device identifiersWe and our partners may collect your IP address and device identifiers like the Advertising-ID or other device related IDs.On iOS the Advertising-ID is calledApple Identifier for Advertisers(""IDFA""), on AndroidGoogle Advertising Identity(""GAID""). These IDs are used to identify your device across different apps. You can reset them in your device's settings.",391,<first>,<what>
General information about your device,General information about your device,100.0,1984,sub,"General information about your deviceWe may collect information about your device like the type, brand, operating system or language settings.",142,<first>,<what>
Usage information,Usage information,100.0,2128,sub,Usage informationWe may collect general usage information like how often and how long you use our apps as well as preferred app settings.,137,<first>,<what>
In games we also collect some information on your game progress like your level or score.,In games we also collect some information on your game progress like your level or score.,100.0,2267,sub,In games we also collect some information on your game progress like your level or score.,89,<error>,<error>
Information we obtain from third parties,Information we obtain from third parties,100.0,2357,main,"Information we obtain from third partiesIn some situations we receive data concerning you from our partners or other third parties, as explained below.",151,<first>,<what>
Social networks,Social networks,100.0,2510,sub,Social networksSome of our apps allow you to connect to Apple Game Center on iOS and Google Play Games Service on Android. When using those services we may receive information like your username and the usernames of your friends playing the same game. Please refer to the Privacy Policy of those services if you have any questions.,331,<third>,<what>
Analytics partners,Analytics partners,100.0,2843,sub,"Analytics partnersBased on your Advertising-ID our analytics partners may provide us with additional information about you like gender, age-range, categories of interests and location on a city level. That information is only accessible in a way that you cannot be identified.",276,<third>,<what>
Advertising partners,Advertising partners,100.0,3121,sub,"Advertising partnersBased on your Advertising-ID we may receive information from our advertising partners, e.g. if you clicked on an advertisement for one of our apps in a third-party app.",188,<third>,<what>
Information we do NOT collect,Information we do NOT collect,100.0,3311,main,Information we do NOT collectFor the purpose of clarification we also want to point out some categories of data that are NOT collected or processed by us.,154,<not>,<how-gathered>
Personal app data,Personal app data,100.0,3467,sub,"Personal app dataIn some of our apps (especially My Love) you can enter personal information like your name or a picture of you. This information is only stored local on your device and not collected, transmitted or shared by us. Please note that this data is not encrypted on your device and that by using local or cloud-based backup mechanisms (e.g. iCloud Backup on iOS devices) you might transfer this data to other locations.",430,<not>,<what>
Precise location information,Precise location information,100.0,3899,sub,Precise location informationSome of our apps need your precise location for its functionality (e.g. Thunderstorm Pro). This information is only processed local on your device. We do not transmit or share this information. In general our apps cannot access your precise location without asking you for permission. All apps that do not need your precise location for their functionality will never access this information.,420,<not>,<what>
Payment information,Payment information,100.0,4321,sub,Payment informationSome of our apps available on the Apple App Store offer In-App-Purchases. We do not process the payments of those purchases. We also do not have access to payment information like credit card information. The payment process is completely controlled by Apple. Please refer to Apples Privacy Policy and Terms of Service if you have any questions.,364,<not>,<what>
Usage of your information,Usage of your information,100.0,4687,main,Usage of your information,25,<first>,<how-used>
Purposes,Purposes,100.0,4713,sub,"PurposesWe use and share the collected data for the following purposes:Showing advertisementsIn order to show advertisements in our apps, our advertising partners need to identify your device using the Advertising-ID. This is required e.g. for frequency capping and to prevent misuse. However, we tell our partners to show only non-personalized contextual advertisements.Improving our appsWe use analytics and usage data to improve the user experience and stability of our apps.",478,<first>,<why>
Purposes,Purposes,100.0,4713,sub,Measuring marketing activities and fraud preventionCollection of analytics data regarding marketing activities is necessary for us to measure our marketing activities and to prevent fraud.,188,<first>,<why>
Legal basis,Legal basis,100.0,5387,sub,"Legal basisWe only collect data that is necessary for us to provide the service, improve the user experience, prevent fraud and run our business. Therefore we rely on our legitimate interest as legal basis for collecting the data.",230,<first>,<why>
Sharing of your information,Sharing of your information,100.0,5619,main,Sharing of your informationWe work with different partners that provide analytics and advertising services. We may share collected data (especially device identifiers) with those partners.,188,<third>,<error>
Analytics partners,Analytics partners,100.0,5809,sub,Analytics partnersWe use the analytics services Firebase Analytics and Google Analytics for Firebase provided by Google.,120,<third>,<how-gathered>
Advertising partners,Advertising partners,100.0,5931,sub,"Advertising partnersWe work with the following advertising partners and may share data like device identifiers with them:GoogleInformation on data collection:https://policies.google.com/technologies/partner-sitesPrivacy Policy:https://policies.google.com/privacyOpt-outYou can use privacy settings of your device to prevent collection of your Advertising-ID.iOSOpen theSettingsapp of your device, then tap onPrivacy, then onTrackingand disableAllow Apps to Request to Track.AndroidOpen theGoogle Settings",504,<third>,<how-gathered>
Advertising partners,Advertising partners,100.0,5931,sub,"of your device, then tap onAdsand enableOpt out of Ads Personalization.Please be aware that some analytics and usage data will still be collected, as this is necessary for us to provide the service. When you do not want data to be collected as explained in this document please stop using our apps.",298,<third>,<how-gathered>
Transfer to third countries,Transfer to third countries,100.0,6762,main,"Transfer to third countriesAs we have partners in the United States of America (""U.S."") your data might be transferred to servers in the U.S., which are considered an unsafe third country by the European Commission.In general we only transfer personal data to entities in third countries that have provided appropriate safeguards to ensure protection of your personal data. Therefore we will only transfer your personal data to an entity in a third country if",459,<third>,<when>
Transfer to third countries,Transfer to third countries,100.0,6762,main,the entity is certified under the US-EU Privacy Shield Framework(seehttps://www.privacyshield.gov)â€“ or â€“we have entered into a contractual agreement implementing the standard contractual clauses by the European Commission with the entity.,242,<third>,<when>
Security,Security,100.0,7472,main,"SecurityWe take appropriate measures to protect your personal data. However, please be aware that no technical system or data transmission is absolutely safe.",158,<security>,<other>
Retention,Retention,100.0,7632,main,"RetentionWe store your information only as long as necessary for the specific purpose for which the data was collected. If we keep information longer it will be in an aggregated form, so that you cannot be identified.",217,<retention>,<other>
Your rights,Your rights,100.0,7851,main,Your rightsIf you are an EEA-based user you have the following rights regarding your personal information. Please contact us if you want to exercise those rights.,162,<choice>,<error>
Right of access,Right of access,100.0,8015,sub,"Right of access(in accordance with Art. 15 GDPR)You have the right to know whether or not we have collected any personal data from you. Furthermore, you have the right to receive a copy of your collected personal data.",218,<choice>,<other>
Right to rectification,Right to rectification,100.0,8236,sub,Right to rectification(in accordance with Art. 16 GDPR)You have the right to have your data corrected.,102,<choice>,<other>
Right to erasure,Right to erasure,100.0,8341,sub,"Right to erasure(in accordance with Art. 17 GDPR)Apart from some exceptions, you have the right to have your collected data deleted.",132,<choice>,<other>
Right to restriction of processing,Right to restriction of processing,100.0,8476,sub,"Right to restriction of processing(in accordance with Art. 18 GDPR)Under some circumstances, you have the right to have the processing of your data restricted.",159,<choice>,<other>
Right to portability,Right to portability,100.0,8638,sub,"Right to portability(in accordance with Art. 20 GDPR)You have the right to get a copy of your data in a structured, commonly used and machine-readable format.",158,<choice>,<other>
Right to object,Right to object,100.0,8799,sub,Right to object(in accordance with Art. 21 GDPR)You have the right to object to processing of personal data concerning you.,123,<choice>,<other>
Right to send complaints,Right to send complaints,100.0,8925,sub,Right to send complaints(in accordance with Art. 77 (1) f GDPR)You have the right to lodge a complaint with a supervisory authority.,132,<choice>,<other>
